Year,Average Wage,,,,,
2000,"30,846.09",,,,,
2001,"31,581.97",,,,,
2002,"31,898.70",,,,,
2003,"32,678.48",,,,,
2004,"34,197.63",,,,,
2005,"35,448.93",,,,,
2006,"37,078.27",,,,,
2007,"38,760.95",,,,,
2008,"39,652.61",,,,,
2009,"39,054.62",,,,,
2010b,"39,959.30",,,,,
2011,"41,211.36",,,,,
2012,"42,498.21",,,,,
2013,"43,041.39",,,,,
2014,"44,569.20",,,,,
2015,"46,119.78",,,,,
2016,"46,640.94",,,,,
2017,"48,251.57",,,,,
2018,"50,000.44",,,,,
2019b,"51,916.27",,,,,
2020,"53,383.18",,,,,
2021,"58,129.99",,,,,
2022,"61,220.07",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
