"CASHTOWN 1 S, PA US (USC00363226)",,,,,
Date,TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/12,54,28,0,0,0
1/2/12,52,28,0.07,0,0
1/3/12,35,21,0.02,0.3,0
1/4/12,27,5,0.01,0.2,0
1/5/12,25,11,0,0,0
1/6/12,41,21,0,0,0
1/7/12,61,23,0,0,0
1/8/12,62,24,0,0,0
1/9/12,43,20,0,0,0
1/10/12,35,21,0,0,0
1/11/12,49,20,0,0,0
1/12/12,42,21,1.12,0,0
1/13/12,53,26,0.43,0,0
1/14/12,28,20,0,0,0
1/15/12,30,17,0,0,0
1/16/12,29,9,0,0,0
1/17/12,37,10,0.08,0,0
1/18/12,53,32,0.2,0.1,0
1/19/12,32,10,0,0,
1/20/12,34,10,0,0,0
1/21/12,28,18,0.48,3.7,4
1/22/12,29,21,0,0,3
1/23/12,27,22,0,0,3
1/24/12,33,24,0.26,0,2
1/25/12,47,29,0,0,1
1/26/12,44,31,0,0,0
1/27/12,50,33,0.88,0,0
1/28/12,59,29,0.12,0,0
1/29/12,48,21,0,0,0
1/30/12,43,20,0.02,0.2,0
1/31/12,40,20,0,0,0
2/1/12,64,23,0,0,0
2/2/12,62,34,0,0,0
2/3/12,48,25,0,0,0
2/4/12,47,24,0,0,0
2/5/12,40,28,0.1,0.3,0
2/6/12,41,19,0,0,0
2/7/12,50,19,0,0,0
2/8/12,49,24,0,0,0
2/9/12,33,24,0.22,3.2,3
2/10/12,43,22,0,0,0
2/11/12,39,22,0.11,1,1
2/12/12,36,16,0.06,1,1
2/13/12,27,18,0,0,0
2/14/12,44,20,0,0,0
2/15/12,47,32,0,0,0
2/16/12,47,26,0,0,0
2/17/12,43,32,0.26,0,0
2/18/12,48,22,0,0,0
2/19/12,55,22,0,0,0
2/20/12,40,26,0,0,0
2/21/12,45,19,0,0,0
2/22/12,45,20,0,0,0
2/23/12,58,28,0,0,0
2/24/12,59,37,0.3,0,0
2/25/12,47,31,0.04,0.3,0
2/26/12,39,30,0,0,0
2/27/12,44,20,0,0,0
2/28/12,59,20,0,0,0
2/29/12,52,28,0,0,0
3/1/12,42,34,1.36,0,0
3/2/12,54,25,0,0,0
3/3/12,49,26,0.31,0,0
3/4/12,55,27,0,0,0
3/5/12,40,22,0.01,0.1,0
3/6/12,39,17,0,0,0
3/7/12,45,18,0,0,0
3/8/12,62,24,0,0,0
3/9/12,69,37,0.08,0,0
3/10/12,50,24,0,0,0
3/11/12,45,21,0,0,0
3/12/12,61,23,0,0,0
3/13/12,68,29,0,0,0
3/14/12,76,44,0,0,0
3/15/12,77,42,0,0,0
3/16/12,78,43,0,0,0
3/17/12,66,44,0,0,0
3/18/12,75,45,0,0,0
3/19/12,66,47,0,0,0
3/20/12,69,48,0.56,0,0
3/21/12,71,53,0.03,0,0
3/22/12,66,54,0.02,0,0
3/23/12,70,48,0,0,0
3/24/12,79,49,0.26,0,0
3/25/12,56,45,0.93,0,0
3/26/12,62,45,0,0,0
3/27/12,53,26,0,0,0
3/28/12,54,28,0,0,0
3/29/12,73,34,0.1,0,0
3/30/12,55,26,0,0,0
3/31/12,52,26,0.13,0,0
4/1/12,47,41,0,0,0
4/2/12,62,41,0.34,0,0
4/3/12,58,30,0,0,0
4/4/12,68,32,0,0,0
4/5/12,72,31,0,0,0
4/6/12,59,30,0,0,0
4/7/12,58,26,0,0,0
4/8/12,62,30,0,0,0
4/9/12,68,44,0,0,0
4/10/12,62,33,0,0,0
4/11/12,58,30,0,0,0
4/12/12,48,37,0.01,0,0
4/13/12,57,31,0,0,0
4/14/12,63,32,0,0,0
4/15/12,71,36,0.14,0,0
4/16/12,78,50,0,0,0
4/17/12,85,50,0,0,0
4/18/12,69,47,0.01,0,0
4/19/12,55,47,0.14,0,0
4/20/12,68,39,0,0,0
4/21/12,70,40,0,0,0
4/22/12,75,46,0.34,0,0
4/23/12,46,35,1.11,0,0
4/24/12,43,34,0.1,0,0
4/25/12,58,33,0,0,0
4/26/12,65,34,0,0,0
4/27/12,66,43,0.55,0,0
4/28/12,54,30,0,0,0
4/29/12,49,30,0.02,0,0
4/30/12,66,31,0,0,0
5/1/12,55,34,0.08,0,0
5/2/12,78,52,0.09,0,0
5/3/12,63,52,0.18,0,0
5/4/12,79,53,0.16,0,0
5/5/12,86,56,0.33,0,0
5/6/12,74,59,0,0,0
5/7/12,67,56,0.01,0,0
5/8/12,63,55,0.05,0,0
5/9/12,64,56,0.41,0,0
5/10/12,69,50,0.05,0,0
5/11/12,61,46,0.04,0,0
5/12/12,69,41,0,0,0
5/13/12,76,49,0,0,0
5/14/12,79,51,0.03,0,0
5/15/12,62,56,1.71,0,0
5/16/12,76,54,0.01,0,0
5/17/12,82,51,0,0,0
5/18/12,69,41,0,0,0
5/19/12,74,43,0,0,0
5/20/12,81,49,0,0,0
5/21/12,80,55,0.06,0,0
5/22/12,65,61,1.7,0,0
5/23/12,74,61,0,0,0
5/24/12,77,63,0.12,0,0
5/25/12,79,63,0,0,0
5/26/12,83,62,0,0,0
5/27/12,87,63,0.08,0,0
5/28/12,85,60,0.54,0,0
5/29/12,90,63,0,0,0
5/30/12,88,61,0.77,0,0
5/31/12,84,55,0,0,0
6/1/12,78,53,0,0,0
6/2/12,70,50,1.22,0,0
6/3/12,70,50,0,0,0
6/4/12,75,50,0.12,0,0
6/5/12,67,52,0,0,0
6/6/12,66,43,0,0,0
6/7/12,73,51,0,0,0
6/8/12,78,50,0.02,0,0
6/9/12,80,53,0,0,0
6/10/12,86,58,0,0,0
6/11/12,89,57,0,0,0
6/12/12,85,64,0.02,0,0
6/13/12,73,61,1.63,0,0
6/14/12,75,53,0,0,0
6/15/12,77,55,0,0,0
6/16/12,79,52,0,0,0
6/17/12,77,49,0,0,0
6/18/12,76,56,0.01,0,0
6/19/12,64,59,0.08,0,0
6/20/12,87,62,0,0,0
6/21/12,93,66,0,0,0
6/22/12,93,71,0,0,0
6/23/12,89,62,0,0,0
6/24/12,83,55,0,0,0
6/25/12,85,59,0,0,0
6/26/12,78,56,0.03,0,0
6/27/12,76,52,0,0,0
6/28/12,82,56,0,0,0
6/29/12,91,64,0.14,0,0
6/30/12,97,66,0.17,0,0
7/1/12,87,63,0,0,0
7/2/12,93,62,0.07,0,0
7/3/12,88,58,0,0,0
7/4/12,93,65,0.12,0,0
7/5/12,93,68,0,0,0
7/6/12,94,67,0.01,0,0
7/7/12,95,69,0,0,0
7/8/12,100,71,0,0,0
7/9/12,87,67,0,0,0
7/10/12,88,62,0.19,0,0
7/11/12,87,61,0,0,0
7/12/12,84,58,1.22,0,0
7/13/12,86,62,0,0,0
7/14/12,81,63,0.54,0,0
