"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-01","8.28",,"0.00","0.0","0.0",,"43","38","  340","  340",,"17.0","21.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-02","11.63",,"0.00","0.0","0.0",,"47","33","  330","  330",,"21.0","30.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-03","5.59",,"0.00","0.0","0.0",,"48","34","  320","  340",,"13.0","19.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-04","11.18",,"0.00","0.0","0.0",,"47","32","  340","  340",,"25.1","33.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-05","6.71",,"0.00","0.0","0.0",,"41","27","  340","  340",,"14.1","17.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-06","9.84",,"1.02","0.0","0.0",,"40","33","   60","   60",,"23.9","33.1","    1",,,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-07","10.96",,"0.00","0.0","0.0",,"53","34","  290","  300",,"23.9","40.0","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-08","6.49",,"0.00","0.0","0.0",,"51","37","  340","  330",,"15.0","21.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-09","13.87",,"2.24","0.0","0.0",,"59","39","  150","  150",,"36.0","52.1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-10","12.97",,"0.00","0.0","0.0",,"57","41","  270","  280",,"25.9","40.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-11","6.71",,"0.00","0.0","0.0",,"52","33","  190","  190",,"15.0","21.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-12","8.05",,"0.33","0.0","0.0",,"54","34","  110","  110",,"21.0","31.1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-01-13","13.20",,"0.04","0.0","0.0",,"55","34","  270","  260",,"32.0","48.1","    1",,,,,,
