STATION,DATE,PRCP,SNOW,TMAX,TMIN
USC00362537,1982-02-01,0.1,0,50,25
USC00362537,1982-02-02,0,0,36,11
USC00362537,1982-02-03,1.1,0,36,26
USC00362537,1982-02-04,0.03,0,41,28
USC00362537,1982-02-05,0,0,38,18
USC00362537,1982-02-06,0,0,38,22
USC00362537,1982-02-07,0,0,32,9
USC00362537,1982-02-08,0,0,43,20
USC00362537,1982-02-09,0.25,2,39,26
USC00362537,1982-02-10,0,0,37,12
USC00362537,1982-02-11,0,0,35,9
USC00362537,1982-02-12,0,0,36,6
USC00362537,1982-02-13,0.12,1.5,43,21
USC00362537,1982-02-14,0,0,41,10
USC00362537,1982-02-15,0,0,52,17
USC00362537,1982-02-16,0,0,57,34
USC00362537,1982-02-17,0.8,6,48,24
USC00362537,1982-02-18,0.23,2.5,35,21
USC00362537,1982-02-19,0.46,0,45,27
USC00362537,1982-02-20,0,0,49,32
USC00362537,1982-02-21,0.06,0,42,34
USC00362537,1982-02-22,0,0,44,30
USC00362537,1982-02-23,0,0,56,25
USC00362537,1982-02-24,0,0,49,30
USC00362537,1982-02-25,0,0,32,15
USC00362537,1982-02-26,0,0,34,12
USC00362537,1982-02-27,0,0,40,17
USC00362537,1982-02-28,0,0,41,17
USC00362537,1982-03-01,0,0,48,15
USC00362537,1982-03-02,0,0,46,27
USC00362537,1982-03-03,0.02,0,37,26
USC00362537,1982-03-04,0.05,0.5,30,18
USC00362537,1982-03-05,0,0,44,26
USC00362537,1982-03-06,0,0,44,22
USC00362537,1982-03-07,0.73,0.5,40,26
USC00362537,1982-03-08,0.07,0,36,18
USC00362537,1982-03-09,0,0,42,16
USC00362537,1982-03-10,0,0,44,18
USC00362537,1982-03-11,0,0,59,30
USC00362537,1982-03-12,0.34,0,66,39
USC00362537,1982-03-13,0.03,0,67,34
USC00362537,1982-03-14,0,0,66,38
USC00362537,1982-03-15,0,0,58,34
USC00362537,1982-03-16,0.43,0,44,34
USC00362537,1982-03-17,0.27,0,56,32
USC00362537,1982-03-18,0,0,55,32
USC00362537,1982-03-19,0,0,54,27
USC00362537,1982-03-20,0.02,0,48,34
USC00362537,1982-03-21,0.08,0,54,37
USC00362537,1982-03-22,0,0,55,34
USC00362537,1982-03-23,0,0,54,26
USC00362537,1982-03-24,0,0,62,24
USC00362537,1982-03-25,0,0,64,26
USC00362537,1982-03-26,0.02,0,52,23
USC00362537,1982-03-27,0,0,41,21
USC00362537,1982-03-28,0,0,46,26
USC00362537,1982-03-29,0,0,61,18
USC00362537,1982-03-30,0,0,66,22
USC00362537,1982-03-31,0.31,0,66,20
USC00362537,1982-04-01,0,0,67,39
USC00362537,1982-04-02,0,0,65,34
USC00362537,1982-04-03,1.45,0,64,39
USC00362537,1982-04-04,0,0,64,33
USC00362537,1982-04-05,0,0,51,25
USC00362537,1982-04-06,0.8,0.3,49,26
USC00362537,1982-04-07,0,0,34,16
USC00362537,1982-04-08,0,0,47,16
USC00362537,1982-04-09,0.37,2.2,45,31
USC00362537,1982-04-10,0.01,0,53,25
USC00362537,1982-04-11,0,0,53,26
USC00362537,1982-04-12,0,0,59,27
USC00362537,1982-04-13,0.02,0,76,40
USC00362537,1982-04-14,0,0,75,39
USC00362537,1982-04-15,0,0,75,43
USC00362537,1982-04-16,0,0,72,39
USC00362537,1982-04-17,0,0,79,55
USC00362537,1982-04-18,0.49,0,77,47
USC00362537,1982-04-19,0,0,71,34
USC00362537,1982-04-20,0,0,69,44
USC00362537,1982-04-21,0,0,61,52
USC00362537,1982-04-22,0,0,56,39
USC00362537,1982-04-23,0,0,65,47
USC00362537,1982-04-24,0,0,76,42
USC00362537,1982-04-25,0,0,77,38
USC00362537,1982-04-26,1.1,0,67,54
USC00362537,1982-04-27,0.13,0,75,52
USC00362537,1982-04-28,0.36,0,61,44
USC00362537,1982-04-29,0,0,66,35
USC00362537,1982-04-30,0,0,75,41
USC00362537,1982-05-01,0,0,77,45
USC00362537,1982-05-02,0,0,75,40
USC00362537,1982-05-03,0,0,85,40
USC00362537,1982-05-04,0,0,76,44
USC00362537,1982-05-05,0,0,76,39
USC00362537,1982-05-06,0,0,83,43
USC00362537,1982-05-07,0,0,88,49
USC00362537,1982-05-08,0,0,75,52
USC00362537,1982-05-09,0,0,75,52
USC00362537,1982-05-10,0,0,72,43
USC00362537,1982-05-11,0,0,80,40
USC00362537,1982-05-12,0,0,88,46
USC00362537,1982-05-13,0,0,87,59
USC00362537,1982-05-14,0,0,85,57
USC00362537,1982-05-15,0,0,81,46
USC00362537,1982-05-16,0,0,88,45
USC00362537,1982-05-17,0,0,89,52
USC00362537,1982-05-18,0,0,87,60
USC00362537,1982-05-19,0,0,88,60
USC00362537,1982-05-20,0.09,0,86,60
USC00362537,1982-05-21,0,0,82,60
USC00362537,1982-05-22,0.09,0,77,59
USC00362537,1982-05-23,0.3,0,61,51
USC00362537,1982-05-24,0.1,0,60,52
USC00362537,1982-05-25,0,0,74,56
USC00362537,1982-05-26,0.1,0,83,55
USC00362537,1982-05-27,0,0,82,59
USC00362537,1982-05-28,0.71,0,76,63
USC00362537,1982-05-29,0.36,0,80,61
USC00362537,1982-05-30,0.07,0,85,64
USC00362537,1982-05-31,0,0,89,66
USC00362537,1982-06-01,0,0,89,64
USC00362537,1982-06-02,0.22,0,88,58
USC00362537,1982-06-03,0.18,0,81,52
USC00362537,1982-06-04,0.18,0,81,54
USC00362537,1982-06-05,1.42,0,64,51
USC00362537,1982-06-06,0.01,0,71,50
USC00362537,1982-06-07,0,0,77,55
USC00362537,1982-06-08,0,0,76,54
USC00362537,1982-06-09,0,0,82,57
USC00362537,1982-06-10,0.53,0,64,51
USC00362537,1982-06-11,0.01,0,69,54
USC00362537,1982-06-12,0.16,0,65,53
USC00362537,1982-06-13,1.72,0,56,51
USC00362537,1982-06-14,0.01,0,78,52
USC00362537,1982-06-15,0,0,80,51
USC00362537,1982-06-16,0.05,0,83,68
USC00362537,1982-06-17,0.64,0,81,65
USC00362537,1982-06-18,0.04,0,80,55
USC00362537,1982-06-19,0,0,83,56
USC00362537,1982-06-20,0,0,78,51
USC00362537,1982-06-21,0,0,82,51
USC00362537,1982-06-22,0,0,80,55
USC00362537,1982-06-23,0,0,80,56
USC00362537,1982-06-24,0,0,78,47
USC00362537,1982-06-25,0,0,82,50
USC00362537,1982-06-26,0,0,85,62
USC00362537,1982-06-27,0,0,88,58
USC00362537,1982-06-28,0.01,0,87,63
USC00362537,1982-06-29,0.07,0,86,68
USC00362537,1982-06-30,0.11,0,79,62
USC00362537,1982-07-01,0,0,79,49
USC00362537,1982-07-02,0,0,80,50
USC00362537,1982-07-03,0.48,0,79,59
