State,State Code,Year,Deaths,Population
Alabama,01,2018,468,4887871
Alabama,01,2019,486,4903185
Alabama,01,2020,564,4921532
Alabama,01,2021,650,5039877
Alabama,01,2022,624,5074296
Alabama,01,2023,633,5108468
Alabama,01,2024,562,5157699
Alaska,02,2018,37,737438
Alaska,02,2019,51,731545
Alaska,02,2020,27,731158
Alaska,02,2021,31,732673
Alaska,02,2022,41,733583
Alaska,02,2023,47,733406
Alaska,02,2024,33,740133
Arizona,04,2018,293,7171646
Arizona,04,2019,285,7278717
Arizona,04,2020,382,7421401
Arizona,04,2021,430,7276316
Arizona,04,2022,490,7359197
Arizona,04,2023,410,7431344
Arizona,04,2024,329,7582384
Arkansas,05,2018,194,3013825
Arkansas,05,2019,208,3017804
Arkansas,05,2020,282,3030522
Arkansas,05,2021,281,3025891
Arkansas,05,2022,290,3045637
Arkansas,05,2023,265,3067732
Arkansas,05,2024,211,3088354
California,06,2018,1275,39557045
California,06,2019,1246,39512223
California,06,2020,1732,39368078
California,06,2021,1861,39237836
California,06,2022,1676,39029342
California,06,2023,1427,38965193
California,06,2024,1204,39431263
Colorado,08,2018,188,5695564
Colorado,08,2019,164,5758736
Colorado,08,2020,235,5807719
Colorado,08,2021,276,5812069
Colorado,08,2022,304,5839926
Colorado,08,2023,261,5877610
Colorado,08,2024,209,5957493
Connecticut,09,2018,54,3572665
Connecticut,09,2019,65,3565287
Connecticut,09,2020,101,3557006
Connecticut,09,2021,116,3605597
Connecticut,09,2022,114,3626205
Connecticut,09,2023,104,3617176
Connecticut,09,2024,69,3675069
Delaware,10,2018,46,967171
Delaware,10,2019,45,973764
Delaware,10,2020,76,986809
Delaware,10,2021,80,1003384
Delaware,10,2022,48,1018396
Delaware,10,2023,43,1031890
Delaware,10,2024,50,1051917
District of Columbia,11,2018,116,702455
District of Columbia,11,2019,128,705749
District of Columbia,11,2020,157,712816
District of Columbia,11,2021,169,670050
District of Columbia,11,2022,141,671803
