,movie_title,Type,mcu_phase_number,mcu_phase_text,release_date,release_year,rt_tomato_meter,rt_audience_score,imdb-rating,metacritic_metascore,metacritic_userscore,production,domestic,international,worldwide
0,Iron Man,Movie,1.0,MCU Phase 1,5/2/08,2008.0,94.0,91.0,7.9,79.0,8.6,140000000.0,319034126.0,266762121.0,585796247.0
1,The Incredible Hulk,Movie,1.0,MCU Phase 1,6/13/08,2008.0,67.0,70.0,6.6,61.0,6.8,140000000.0,134806913.0,128620638.0,263427551.0
2,Iron Man 2,Movie,1.0,MCU Phase 1,5/7/10,2010.0,72.0,71.0,6.9,57.0,6.4,200000000.0,312433331.0,311500000.0,623933331.0
3,Thor,Movie,1.0,MCU Phase 1,5/6/11,2011.0,77.0,76.0,7.0,57.0,7.0,150000000.0,181030624.0,268295994.0,449326618.0
4,Captain America: The First Avenger,Movie,1.0,MCU Phase 1,7/22/11,2011.0,79.0,75.0,6.9,66.0,6.8,140000000.0,176654505.0,193915269.0,370569774.0
5,The Avengers,Movie,1.0,MCU Phase 1,5/4/12,2012.0,91.0,91.0,8.0,69.0,8.0,220000000.0,623357910.0,895442000.0,1518799910.0
6,Iron Man 3,Movie,2.0,MCU Phase 2,5/3/13,2013.0,79.0,78.0,7.1,62.0,6.7,200000000.0,409013994.0,806426000.0,1215439994.0
7,Thor: The Dark World,Movie,2.0,MCU Phase 2,11/8/13,2013.0,66.0,75.0,6.8,54.0,7.0,170000000.0,206362140.0,438421000.0,644783140.0
8,Captain America: The Winter Soldier,Movie,2.0,MCU Phase 2,4/4/14,2014.0,90.0,92.0,7.7,70.0,8.3,170000000.0,259766572.0,454654931.0,714421503.0
9,Guardians of the Galaxy,Movie,2.0,MCU Phase 2,8/1/14,2014.0,92.0,92.0,8.0,76.0,8.2,170000000.0,333176600.0,439697800.0,772874400.0
10,Avengers: Age of Ultron,Movie,2.0,MCU Phase 2,5/1/15,2015.0,76.0,83.0,7.3,66.0,7.1,250000000.0,459005868.0,943786000.0,1402791868.0
11,Ant-Man,Movie,2.0,MCU Phase 2,7/17/15,2015.0,83.0,85.0,7.2,64.0,7.4,130000000.0,180202163.0,339109802.0,519311965.0
12,Captain America: Civil War,Movie,3.0,MCU Phase 3,5/6/16,2016.0,90.0,89.0,7.8,75.0,8.0,250000000.0,408084349.0,745231193.0,1153315542.0
13,Doctor Strange,Movie,3.0,MCU Phase 3,11/4/16,2016.0,89.0,86.0,7.5,72.0,8.0,165000000.0,232641920.0,445060000.0,677718395.0
14,Guardians of the Galaxy Vol. 2,Movie,3.0,MCU Phase 3,5/5/17,2017.0,85.0,87.0,7.6,67.0,7.8,200000000.0,389813101.0,473900000.0,863756051.0
15,Spider-Man: Homecoming,Movie,3.0,MCU Phase 3,7/7/17,2017.0,92.0,87.0,7.4,73.0,7.5,175000000.0,334201140.0,546171626.0,880372766.0
16,Thor: Ragnarok,Movie,3.0,MCU Phase 3,11/3/17,2017.0,93.0,87.0,7.9,74.0,7.7,180000000.0,315058289.0,538958924.0,854017213.0
17,Black Panther,Movie,3.0,MCU Phase 3,2/16/18,2018.0,96.0,79.0,7.3,88.0,6.3,200000000.0,700059566.0,646853595.0,1346913161.0
18,Avengers: Infinity War,Movie,3.0,MCU Phase 3,4/27/18,2018.0,85.0,91.0,8.4,68.0,8.5,300000000.0,678815482.0,1369544272.0,2048359754.0
19,Ant-Man and the Wasp,Movie,3.0,MCU Phase 3,7/6/18,2018.0,87.0,81.0,7.0,70.0,7.0,162000000.0,216648740.0,406300000.0,622674139.0
20,Captain Marvel,Movie,3.0,MCU Phase 3,3/8/19,2019.0,79.0,45.0,6.8,64.0,3.0,152000000.0,426829839.0,701700000.0,1128429839.0
21,Avengers: Endgame,Movie,3.0,MCU Phase 3,4/26/19,2019.0,94.0,90.0,8.4,78.0,7.9,356000000.0,858372000.0,1939557910.0,2797800564.0
22,Spider-Man: Far From Home,Movie,3.0,MCU Phase 3,7/2/19,2019.0,90.0,95.0,7.4,69.0,7.5,160000000.0,390532085.0,741220000.0,1131752085.0
23,WandaVision,TV Show,4.0,MCU Phase 4,1/15/21,2021.0,92.0,88.0,7.9,77.0,6.8,225000000.0,,,
24,The Falcon and the Winter Soldier,TV Show,4.0,MCU Phase 4,3/19/21,2021.0,85.0,82.0,7.1,74.0,5.7,150000000.0,,,
25,Loki,TV Show,4.0,MCU Phase 4,6/9/21,2021.0,92.0,90.0,8.2,70.0,7.2,140000000.0,,,
26,Black Widow,Movie,4.0,MCU Phase 4,7/9/21,2021.0,79.0,91.0,6.7,68.0,6.0,288000000.0,183651655.0,196100000.0,379751655.0
27,What If…?,TV Show,4.0,MCU Phase 4,8/11/21,2021.0,94.0,92.0,7.4,72.0,6.6,,,,
28,Shang-Chi and the Legend of the Ten Rings,Movie,4.0,MCU Phase 4,9/3/21,2021.0,91.0,98.0,7.4,71.0,7.0,150000000.0,224543292.0,207700000.0,432243292.0
29,Eternals,Movie,4.0,MCU Phase 4,11/5/21,2021.0,47.0,78.0,6.3,52.0,6.1,236000000.0,164870234.0,237194665.0,402064899.0
30,Hawkeye,TV Show,4.0,MCU Phase 4,11/24/21,2021.0,92.0,88.0,7.5,66.0,6.4,150000000.0,,,
31,Spider-Man: No Way Home,Movie,4.0,MCU Phase 4,12/17/21,2021.0,93.0,98.0,8.2,71.0,8.5,200000000.0,814115070.0,1107732041.0,1921847111.0
32,Moon Knight,TV Show,4.0,MCU Phase 4,3/30/22,2022.0,86.0,89.0,7.3,69.0,6.9,148000000.0,,,
33,Doctor Strange: Multiverse of Madness,Movie,4.0,MCU Phase 4,5/6/22,2022.0,73.0,85.0,6.9,60.0,5.9,294000000.0,411331607.0,544444197.0,955775804.0
34,Ms. Marvel,TV Show,4.0,MCU Phase 4,6/8/22,2022.0,98.0,80.0,6.3,78.0,4.3,150000000.0,,,
35,Thor: Love and Thunder,Movie,4.0,MCU Phase 4,7/8/22,2022.0,63.0,76.0,6.2,57.0,4.8,250000000.0,343256830.0,417671251.0,760928081.0
36,She-Hulk,TV Show,4.0,MCU Phase 4,8/18/22,2022.0,77.0,32.0,5.3,67.0,2.7,225000000.0,,,
37,Black Panther: Wakanda Forever,Movie,4.0,MCU Phase 4,11/11/22,2022.0,83.0,94.0,6.7,67.0,5.2,200000000.0,453829060.0,405379776.0,859208836.0
38,Ant-Man and the Wasp: Quantumania,Movie,5.0,MCU Phase 5,2/17/23,2023.0,46.0,82.0,6.1,48.0,5.5,200000000.0,214504909.0,261566271.0,476071180.0
39,Guardians of the Galaxy Vol. 3,Movie,5.0,MCU Phase 5,5/5/23,2023.0,82.0,94.0,7.9,64.0,7.9,250000000.0,358995815.0,486559962.0,845555777.0
40,Secret Invasion,TV Show,5.0,MCU Phase 5,6/21/23,2023.0,53.0,46.0,5.9,63.0,3.5,211000000.0,,,
41,The Marvels,Movie,5.0,MCU Phase 5,11/10/23,2023.0,62.0,82.0,5.6,50.0,3.8,270000000.0,84500223.0,121612709.0,206112932.0
42,Echo,TV Show,5.0,MCU Phase 5,1/9/24,2024.0,71.0,61.0,6.0,62.0,5.2,40000000.0,,,
