movie_title,Type,mcu_phase_number,mcu_phase_text,release_date,release_year,rt_tomato_meter,rt_audience_score,imdb-rating,metacritic_metascore,metacritic_userscore, production_budget , domestic_box_office , international_box_office , worldwide_box_office 
Iron Man,Movie,1,MCU Phase 1,5/2/08,2008,94,91,7.9,79.0,8.6," $140,000,000 "," $319,034,126 "," $266,762,121 "," $585,796,247 "
The Incredible Hulk,Movie,1,MCU Phase 1,6/13/08,2008,67,70,6.6,61,6.8," $140,000,000 "," $134,806,913 "," $128,620,638 "," $263,427,551 "
Iron Man 2,Movie,1,MCU Phase 1,5/7/10,2010,72,71,6.9,57.0,6.4," $200,000,000 "," $312,433,331 "," $311,500,000 "," $623,933,331 "
Thor,Movie,1,MCU Phase 1,5/6/11,2011,77,76,7.0,57.0,7.0," $150,000,000 "," $181,030,624 "," $268,295,994 "," $449,326,618 "
Captain America: The First Avenger,Movie,1,MCU Phase 1,7/22/11,2011,79,75,6.9,66.0,6.8," $140,000,000 "," $176,654,505 "," $193,915,269 "," $370,569,774 "
The Avengers,Movie,1,MCU Phase 1,5/4/12,2012,91,91,8.0,69.0,8.0," $220,000,000 "," $623,357,910 "," $895,442,000 "," $1,518,799,910 "
Iron Man 3,Movie,2,MCU Phase 2,5/3/13,2013,79,78,7.1,62.0,6.7," $200,000,000 "," $409,013,994 "," $806,426,000 "," $1,215,439,994 "
Thor: The Dark World,Movie,2,MCU Phase 2,11/8/13,2013,66,75,6.8,54.0,7.0," $170,000,000 "," $206,362,140 "," $438,421,000 "," $644,783,140 "
Captain America: The Winter Soldier,Movie,2,MCU Phase 2,4/4/14,2014,90,92,7.7,70.0,8.3," $170,000,000 "," $259,766,572 "," $454,654,931 "," $714,421,503 "
Guardians of the Galaxy,Movie,2,MCU Phase 2,8/1/14,2014,92,92,8.0,76.0,8.2," $170,000,000 "," $333,176,600 "," $439,697,800 "," $772,874,400 "
Avengers: Age of Ultron,Movie,2,MCU Phase 2,5/1/15,2015,76,83,7.3,66.0,7.1," $250,000,000 "," $459,005,868 "," $943,786,000 "," $1,402,791,868 "
Ant-Man,Movie,2,MCU Phase 2,7/17/15,2015,83,85,7.2,64.0,7.4," $130,000,000 "," $180,202,163 "," $339,109,802 "," $519,311,965 "
Captain America: Civil War,Movie,3,MCU Phase 3,5/6/16,2016,90,89,7.8,75.0,8.0," $250,000,000 "," $408,084,349 "," $745,231,193 "," $1,153,315,542 "
Doctor Strange,Movie,3,MCU Phase 3,11/4/16,2016,89,86,7.5,72.0,8.0," $165,000,000 "," $232,641,920 "," $445,060,000 "," $677,718,395 "
Guardians of the Galaxy Vol. 2,Movie,3,MCU Phase 3,5/5/17,2017,85,87,7.6,67.0,7.8," $200,000,000 "," $389,813,101 "," $473,900,000 "," $863,756,051 "
Spider-Man: Homecoming,Movie,3,MCU Phase 3,7/7/17,2017,92,87,7.4,73.0,7.5," $175,000,000 "," $334,201,140 "," $546,171,626 "," $880,372,766 "
Thor: Ragnarok,Movie,3,MCU Phase 3,11/3/17,2017,93,87,7.9,74.0,7.7," $180,000,000 "," $315,058,289 "," $538,958,924 "," $854,017,213 "
Black Panther,Movie,3,MCU Phase 3,2/16/18,2018,96,79,7.3,88.0,6.3," $200,000,000 "," $700,059,566 "," $646,853,595 "," $1,346,913,161 "
Avengers: Infinity War,Movie,3,MCU Phase 3,4/27/18,2018,85,91,8.4,68.0,8.5," $300,000,000 "," $678,815,482 "," $1,369,544,272 "," $2,048,359,754 "
Ant-Man and the Wasp,Movie,3,MCU Phase 3,7/6/18,2018,87,81,7.0,70.0,7.0," $162,000,000 "," $216,648,740 "," $406,300,000 "," $622,674,139 "
Captain Marvel,Movie,3,MCU Phase 3,3/8/19,2019,79,45,6.8,64.0,3.0," $152,000,000 "," $426,829,839 "," $701,700,000 "," $1,128,429,839 "
Avengers: Endgame,Movie,3,MCU Phase 3,4/26/19,2019,94,90,8.4,78.0,7.9," $356,000,000 "," $858,372,000 "," $1,939,557,910 "," $2,797,800,564 "
Spider-Man: Far From Home,Movie,3,MCU Phase 3,7/2/19,2019,90,95,7.4,69.0,7.5," $160,000,000 "," $390,532,085 "," $741,220,000 "," $1,131,752,085 "
WandaVision,TV Show,4,MCU Phase 4,1/15/21,2021,92,88,7.9,77.0,6.8," $225,000,000 ", - , - , - 
The Falcon and the Winter Soldier,TV Show,4,MCU Phase 4,3/19/21,2021,85,82,7.1,74.0,5.7," $150,000,000 ", - , - , - 
Loki,TV Show,4,MCU Phase 4,6/9/21,2021,92,90,8.2,70.0,7.2," $140,000,000 ", - , - , - 
Black Widow,Movie,4,MCU Phase 4,7/9/21,2021,79,91,6.7,68.0,6.0," $288,000,000 "," $183,651,655 "," $196,100,000 "," $379,751,655 "
What If…?,TV Show,4,MCU Phase 4,8/11/21,2021,94,92,7.4,72.0,6.6, - , - , - , - 
Shang-Chi and the Legend of the Ten Rings,Movie,4,MCU Phase 4,9/3/21,2021,91,98,7.4,71.0,7.0," $150,000,000 "," $224,543,292 "," $207,700,000 "," $432,243,292 "
Eternals,Movie,4,MCU Phase 4,11/5/21,2021,47,78,6.3,52.0,6.1," $236,000,000 "," $164,870,234 "," $237,194,665 "," $402,064,899 "
Hawkeye,TV Show,4,MCU Phase 4,11/24/21,2021,92,88,7.5,66.0,6.4," $150,000,000 ", - , - , - 
Spider-Man: No Way Home,Movie,4,MCU Phase 4,12/17/21,2021,93,98,8.2,71.0,8.5," $200,000,000 "," $814,115,070 "," $1,107,732,041 "," $1,921,847,111 "
Moon Knight,TV Show,4,MCU Phase 4,3/30/22,2022,86,89,7.3,69.0,6.9," $148,000,000 ", - , - , - 
Doctor Strange: Multiverse of Madness,Movie,4,MCU Phase 4,5/6/22,2022,73,85,6.9,60.0,5.9," $294,000,000 "," $411,331,607 "," $544,444,197 "," $955,775,804 "
Ms. Marvel,TV Show,4,MCU Phase 4,6/8/22,2022,98,80,6.3,78.0,4.3," $150,000,000 ", - , - , - 
Thor: Love and Thunder,Movie,4,MCU Phase 4,7/8/22,2022,63,76,6.2,57.0,4.8," $250,000,000 "," $343,256,830 "," $417,671,251 "," $760,928,081 "
She-Hulk,TV Show,4,MCU Phase 4,8/18/22,2022,77,32,5.3,67.0,2.7," $225,000,000 ", - , - , - 
Black Panther: Wakanda Forever,Movie,4,MCU Phase 4,11/11/22,2022,83,94,6.7,67.0,5.2," $200,000,000 "," $453,829,060 "," $405,379,776 "," $859,208,836 "
Ant-Man and the Wasp: Quantumania,Movie,5,MCU Phase 5,2/17/23,2023,46,82,6.1,48.0,5.5," $200,000,000 "," $214,504,909 "," $261,566,271 "," $476,071,180 "
Guardians of the Galaxy Vol. 3,Movie,5,MCU Phase 5,5/5/23,2023,82,94,7.9,64,7.9," $250,000,000 "," $358,995,815 "," $486,559,962 "," $845,555,777 "
Secret Invasion,TV Show,5,MCU Phase 5,6/21/23,2023,53,46,5.9,63.0,3.5," $211,000,000 ", - , - , - 
The Marvels,Movie,5,MCU Phase 5,11/10/23,2023,62,82,5.6,50.0,3.8," $270,000,000 "," $84,500,223 "," $121,612,709 "," $206,112,932 "
Echo,TV Show,5,MCU Phase 5,1/9/24,2024,71,61,6.0,62.0,5.2," $40,000,000 ", - , - , - 
,,,,,,,,,,,,,,
,,,,,,,,,,," $8,157,000,000 "," $11,799,499,952 "," $18,027,089,947 "," $29,826,145,377 "
