,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,252.62,254.94,251.38,252.58,5988958,3.56,-0.02
1,2026-03-17,252.96,255.13,252.18,254.23,32344800,2.95,0.50
2,2026-03-16,252.11,253.89,249.88,252.82,32074200,4.01,0.28
3,2026-03-13,255.48,256.33,249.52,250.12,36930000,6.81,-2.10
4,2026-03-12,258.66,258.95,254.18,255.76,40794000,4.77,-1.12
5,2026-03-11,261.09,262.13,259.55,260.81,26218900,2.58,-0.11
6,2026-03-10,257.65,262.48,256.95,260.83,30590800,5.53,1.23
7,2026-03-09,255.69,261.15,253.68,259.88,38218500,7.47,1.64
8,2026-03-06,258.63,258.77,254.37,257.46,41120000,4.40,-0.45
9,2026-03-05,260.79,261.56,257.25,260.29,49658600,4.31,-0.19
10,2026-03-04,264.65,266.15,261.42,262.52,39803100,4.73,-0.80
11,2026-03-03,263.48,265.56,260.13,263.75,38568900,5.43,0.10
12,2026-03-02,262.41,266.53,260.20,264.72,41827900,6.33,0.88
13,2026-02-27,272.81,272.81,262.89,264.18,72366500,9.92,-3.16
14,2026-02-26,274.95,276.11,270.80,272.95,32345100,5.31,-0.73
15,2026-02-25,271.78,274.94,271.05,274.23,33714300,3.89,0.90
16,2026-02-24,267.86,274.89,267.71,272.14,47014600,7.18,1.60
17,2026-02-23,263.49,269.43,263.38,266.18,37308200,6.05,1.02
18,2026-02-20,258.97,264.75,258.16,264.58,42070500,6.59,2.17
19,2026-02-19,262.60,264.48,260.05,260.58,30845300,4.43,-0.77
20,2026-02-18,263.60,266.82,262.45,264.35,34203300,4.37,0.28
21,2026-02-17,258.05,266.29,255.54,263.88,58469100,10.75,2.26
22,2026-02-13,262.01,262.23,255.45,255.78,56290700,6.78,-2.38
23,2026-02-12,275.59,275.72,260.18,261.73,81077200,15.54,-5.03
24,2026-02-11,274.70,280.18,274.45,275.50,51931300,5.73,0.29
25,2026-02-10,274.89,275.37,272.94,273.68,34376900,2.43,-0.44
26,2026-02-09,277.91,278.20,271.70,274.62,44623400,6.50,-1.18
27,2026-02-06,276.86,280.65,276.67,277.86,50453400,3.98,0.36
28,2026-02-05,277.87,279.24,272.97,275.65,52977400,6.26,-0.80
29,2026-02-04,272.04,278.69,272.04,276.23,90545700,6.65,1.54
30,2026-02-03,268.95,271.63,267.36,269.23,64394700,4.27,0.10
31,2026-02-02,259.79,270.24,258.97,269.76,73913400,11.27,3.84
32,2026-01-30,254.93,261.66,251.94,259.24,92443400,9.71,1.69
33,2026-01-29,257.76,259.41,254.17,258.04,67253000,5.24,0.11
34,2026-01-28,257.41,258.62,254.27,256.20,41288000,4.35,-0.47
35,2026-01-27,258.93,261.71,257.97,258.03,49648300,3.74,-0.35
36,2026-01-26,251.24,256.32,249.57,255.17,55969200,6.75,1.56
37,2026-01-23,247.09,249.18,244.45,247.81,41689000,4.73,0.29
38,2026-01-22,248.97,250.77,247.92,248.12,39708300,2.85,-0.34
39,2026-01-21,248.47,251.32,244.95,247.42,54641700,6.37,-0.42
40,2026-01-20,252.49,254.55,243.19,246.47,80267500,11.36,-2.39
41,2026-01-16,257.66,258.66,254.69,255.29,72142800,3.97,-0.92
42,2026-01-15,260.41,260.80,256.81,257.97,39388600,3.99,-0.94
43,2026-01-14,259.25,261.58,256.47,259.72,40019400,5.11,0.18
44,2026-01-13,258.48,261.57,258.15,260.81,45730800,3.42,0.90
45,2026-01-12,258.92,261.06,256.56,260.01,45263800,4.50,0.42
46,2026-01-09,258.84,259.97,255.98,259.13,39997000,3.99,0.11
47,2026-01-08,256.78,259.05,255.46,258.80,50419300,3.59,0.79
48,2026-01-07,262.95,263.43,259.57,260.09,48309800,3.87,-1.09
49,2026-01-06,266.75,267.30,261.87,262.11,52352100,5.42,-1.74
50,2026-01-05,270.39,271.26,265.89,267.01,45647200,5.36,-1.25
51,2026-01-02,272.01,277.58,268.75,270.76,37838100,8.83,-0.46
52,2025-12-31,272.80,273.42,271.50,271.61,27293600,1.93,-0.44
53,2025-12-30,272.55,273.82,272.03,272.82,22139600,1.80,0.10
54,2025-12-29,272.44,274.10,272.10,273.50,23715200,2.01,0.39
55,2025-12-26,273.90,275.11,272.60,273.14,21521800,2.51,-0.28
56,2025-12-24,272.09,275.17,271.95,273.55,17910600,3.23,0.54
57,2025-12-23,270.59,272.25,269.31,272.11,29642000,2.94,0.56
58,2025-12-22,272.60,273.62,270.26,270.72,36571800,3.37,-0.69
59,2025-12-19,271.90,274.34,269.65,273.41,144632000,4.70,0.56
60,2025-12-18,273.35,273.37,266.70,271.94,51630700,6.67,-0.52
61,2025-12-17,274.75,275.90,271.39,271.59,50138700,4.52,-1.15
62,2025-12-16,272.56,275.24,271.54,274.35,37648600,3.71,0.66
