,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,213.96,215.14,211.46,212.04,9491949,3.68,-0.90
1,2026-03-17,212.82,215.70,212.43,215.20,44926600,3.27,1.12
2,2026-03-16,208.35,212.72,207.45,211.74,42209300,5.27,1.63
3,2026-03-13,209.61,210.56,206.22,207.67,35662100,4.34,-0.93
4,2026-03-12,210.39,211.71,208.15,209.53,44349500,3.56,-0.41
5,2026-03-11,215.71,217.00,211.35,212.65,34199300,5.65,-1.42
6,2026-03-10,214.19,215.65,212.43,214.33,35678800,3.22,0.07
7,2026-03-09,210.45,213.82,207.11,213.49,54642900,6.71,1.44
8,2026-03-06,214.99,217.32,212.53,213.21,51152700,4.79,-0.83
9,2026-03-05,215.98,220.47,215.59,218.94,60943400,4.88,1.37
10,2026-03-04,210.47,217.54,210.15,216.82,54731100,7.39,3.02
11,2026-03-03,203.10,209.18,202.48,208.73,43184900,6.70,2.77
12,2026-03-02,204.55,209.73,203.46,208.39,46001000,6.27,1.88
13,2026-02-27,206.83,210.33,205.20,210.00,57422800,5.13,1.53
14,2026-02-26,210.73,211.05,205.35,207.92,47756800,5.70,-1.33
15,2026-02-25,210.46,211.59,208.93,210.64,41346400,2.66,0.09
16,2026-02-24,205.47,210.36,203.25,208.56,41137200,7.11,1.50
17,2026-02-23,208.10,208.43,203.11,205.27,53581500,5.32,-1.36
18,2026-02-20,204.76,211.17,203.75,210.11,65881600,7.42,2.61
19,2026-02-19,203.80,205.64,202.81,204.86,35669600,2.83,0.52
20,2026-02-18,202.07,206.86,201.51,204.79,51003300,5.35,1.35
21,2026-02-17,198.13,201.74,196.00,201.15,69879200,5.74,1.52
22,2026-02-13,198.88,201.16,197.28,198.79,66321600,3.88,-0.05
23,2026-02-12,203.96,203.96,197.56,199.60,83975400,6.40,-2.14
24,2026-02-11,208.06,208.57,202.49,204.08,65545500,6.08,-1.91
25,2026-02-10,208.80,212.65,206.41,206.96,67175000,6.24,-0.88
26,2026-02-09,208.97,212.81,203.35,208.72,91178400,9.46,-0.12
27,2026-02-06,202.70,211.44,200.31,210.32,179210900,11.13,3.76
28,2026-02-05,224.91,226.31,220.38,222.69,103509200,5.93,-0.99
29,2026-02-04,238.86,238.86,231.82,232.99,51299900,7.04,-2.46
30,2026-02-03,244.98,246.35,235.45,238.62,53831300,10.90,-2.60
31,2026-02-02,238.31,245.63,238.17,242.96,37546100,7.46,1.95
32,2026-01-30,239.89,243.32,237.64,239.30,46585000,5.68,-0.25
33,2026-01-29,242.82,243.00,236.74,241.73,47229600,6.26,-0.45
34,2026-01-28,246.37,247.78,241.53,243.01,40882700,6.25,-1.36
35,2026-01-27,239.69,244.88,238.08,244.68,38029200,6.80,2.08
36,2026-01-26,239.98,240.95,237.54,238.42,32825500,3.41,-0.65
37,2026-01-23,234.96,240.45,234.57,239.16,33778500,5.88,1.79
38,2026-01-22,234.05,235.72,230.90,234.34,31913300,4.82,0.12
39,2026-01-21,231.09,232.30,226.88,231.31,47276100,5.42,0.10
40,2026-01-20,233.76,235.09,229.34,231.00,47737900,5.75,-1.18
41,2026-01-16,239.09,239.57,236.41,239.12,45888300,3.16,0.01
42,2026-01-15,239.31,240.65,236.63,238.18,43003600,4.02,-0.47
43,2026-01-14,241.15,241.28,236.22,236.65,41410600,5.06,-1.87
44,2026-01-13,246.53,247.66,240.25,242.60,38371800,7.41,-1.59
45,2026-01-12,246.73,248.94,245.96,246.47,35867800,2.98,-0.11
46,2026-01-09,244.57,247.86,242.24,247.38,34560000,5.62,1.15
47,2026-01-08,243.06,246.41,241.88,246.29,39509800,4.53,1.33
48,2026-01-07,239.61,245.29,239.52,241.56,42236500,5.77,0.81
49,2026-01-06,232.10,243.18,232.07,240.93,53764700,11.11,3.80
50,2026-01-05,228.84,234.00,227.18,233.06,49733300,6.82,1.84
51,2026-01-02,231.34,235.46,224.70,226.50,51456200,10.76,-2.09
52,2025-12-31,232.91,232.99,230.12,230.82,24383700,2.87,-0.90
53,2025-12-30,231.21,232.77,230.20,232.53,21910500,2.57,0.57
54,2025-12-29,231.94,232.60,230.77,232.07,19797900,1.83,0.06
55,2025-12-26,232.04,232.99,231.18,232.52,15994700,1.81,0.21
56,2025-12-24,232.13,232.95,231.33,232.38,11420500,1.62,0.11
57,2025-12-23,229.06,232.45,228.73,232.14,29230200,3.72,1.34
58,2025-12-22,228.61,229.48,226.71,228.43,32261300,2.77,-0.08
59,2025-12-19,226.76,229.13,225.58,227.35,85544400,3.55,0.26
60,2025-12-18,225.71,229.23,224.41,226.76,50272400,4.82,0.47
61,2025-12-17,224.66,225.19,220.99,221.27,44034400,4.20,-1.51
62,2025-12-16,223.04,223.66,221.13,222.56,39298900,2.53,-0.22
63,2025-12-15,227.93,227.93,221.50,222.54,47286100,6.43,-2.36
64,2025-12-12,229.87,230.08,225.12,226.19,35639100,4.96,-1.60
65,2025-12-11,230.71,232.11,228.69,230.28,28249600,3.42,-0.19
66,2025-12-10,228.81,232.42,228.46,231.78,38790700,3.96,1.30
67,2025-12-09,226.84,228.57,225.11,227.92,25841700,3.46,0.48
68,2025-12-08,229.59,230.83,226.27,226.89,35019200,4.56,-1.18
69,2025-12-05,230.32,231.24,228.55,229.53,33117400,2.69,-0.34
70,2025-12-04,232.77,233.50,226.80,229.11,45683200,6.70,-1.57
71,2025-12-03,233.35,233.38,230.61,232.38,35495100,2.77,-0.42
72,2025-12-02,235.01,238.97,233.55,234.42,45785400,5.42,-0.25
73,2025-12-01,233.22,235.80,232.25,233.88,42904000,3.55,0.28
74,2025-11-28,231.24,233.29,230.22,233.22,20292300,3.07,0.86
75,2025-11-26,230.74,231.75,228.77,229.16,38497900,2.98,-0.68
76,2025-11-25,226.38,230.52,223.80,229.67,39379300,6.72,1.45
77,2025-11-24,222.56,227.33,222.27,226.28,54318400,5.06,1.67
78,2025-11-21,216.35,222.21,215.18,220.69,68490500,7.03,2.01
79,2025-11-20,227.05,227.41,216.74,217.14,50309000,10.67,-4.36
80,2025-11-19,223.74,223.74,218.52,222.69,58335600,5.22,-0.47
81,2025-11-18,228.10,230.20,222.42,222.55,60608400,7.78,-2.43
