,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,320.60,325.44,317.70,319.44,5667367,7.74,-0.36
1,2026-03-17,325.76,327.44,317.25,321.31,37991500,10.19,-1.37
2,2026-03-16,326.02,329.20,320.06,324.92,31363100,9.14,-0.34
3,2026-03-13,337.68,338.32,321.43,322.16,34725000,16.89,-4.60
4,2026-03-12,337.74,339.83,332.20,335.97,21982700,7.63,-0.52
5,2026-03-11,342.59,345.81,338.22,341.57,20104100,7.59,-0.30
6,2026-03-10,348.73,353.14,340.80,342.58,29531700,12.34,-1.76
7,2026-03-09,327.25,348.49,323.61,345.75,40605800,24.88,5.65
8,2026-03-06,328.28,343.51,327.40,330.48,39152200,16.11,0.67
9,2026-03-05,330.18,336.12,323.03,332.77,57076600,13.09,0.78
10,2026-03-04,315.68,322.64,311.74,317.53,34895800,10.90,0.59
11,2026-03-03,313.00,315.88,307.40,313.84,20826200,8.48,0.27
12,2026-03-02,309.36,320.04,307.20,318.82,20567200,12.84,3.06
13,2026-02-27,310.70,320.00,310.00,319.55,28004200,10.00,2.85
14,2026-02-26,326.50,326.58,307.93,321.70,33025300,18.65,-1.47
15,2026-02-25,330.74,335.91,329.28,332.31,20182300,6.63,0.47
16,2026-02-24,322.54,328.31,314.45,325.49,23614400,13.86,0.91
17,2026-02-23,332.25,338.50,325.32,330.34,16472400,13.18,-0.57
18,2026-02-20,332.36,340.11,329.58,332.65,17658900,10.53,0.09
19,2026-02-19,333.01,338.44,329.68,333.99,15180900,8.76,0.29
20,2026-02-18,329.52,337.88,327.23,333.51,13565300,10.65,1.21
21,2026-02-17,319.68,335.75,316.31,332.54,23469700,19.44,4.02
22,2026-02-13,329.85,334.32,324.69,325.17,18397200,9.63,-1.42
23,2026-02-12,343.83,346.29,329.56,331.17,22007300,16.73,-3.68
24,2026-02-11,346.80,347.20,333.74,342.76,17004700,13.46,-1.16
25,2026-02-10,347.47,348.01,339.84,340.44,19542700,8.17,-2.02
26,2026-02-09,330.77,352.34,330.65,343.94,30091000,21.69,3.98
27,2026-02-06,320.10,335.00,316.30,332.92,33003400,18.70,4.01
28,2026-02-05,314.34,326.53,306.70,310.51,42775800,19.83,-1.22
29,2026-02-04,319.51,319.51,295.30,308.05,43330300,24.21,-3.59
30,2026-02-03,336.74,338.90,308.65,320.33,36914800,30.25,-4.87
31,2026-02-02,326.11,336.06,325.75,331.11,17278200,10.31,1.53
32,2026-01-30,332.44,338.20,328.33,331.30,28313000,9.87,-0.34
33,2026-01-29,332.56,335.95,320.28,330.73,20447500,15.67,-0.55
34,2026-01-28,338.85,339.99,326.70,333.24,23001700,13.29,-1.66
35,2026-01-27,329.76,334.76,327.02,332.79,25537600,7.74,0.92
36,2026-01-26,319.80,328.68,317.60,324.85,25006400,11.08,1.58
37,2026-01-23,319.30,321.99,314.11,320.05,30259500,7.88,0.23
38,2026-01-22,335.35,336.99,324.89,325.49,24275400,12.10,-2.94
39,2026-01-21,335.51,335.80,324.20,328.80,32006600,11.60,-2.00
40,2026-01-20,344.10,345.40,331.80,332.60,32293900,13.60,-3.34
41,2026-01-16,346.27,354.51,344.05,351.71,31291200,10.46,1.57
42,2026-01-15,349.12,349.68,341.67,343.02,22218800,8.01,-1.75
43,2026-01-14,348.97,350.69,334.42,339.89,30094700,16.27,-2.60
44,2026-01-13,352.88,359.49,350.91,354.61,18308000,8.58,0.49
45,2026-01-12,340.95,353.90,340.95,352.21,20949600,12.95,3.30
46,2026-01-09,337.92,347.39,333.50,344.97,22482500,13.89,2.09
47,2026-01-08,342.78,343.68,330.50,332.48,24385200,13.18,-3.00
48,2026-01-07,341.70,349.70,335.88,343.50,20249300,13.82,0.53
49,2026-01-06,343.60,349.05,338.00,343.77,27135500,11.05,0.05
50,2026-01-05,354.74,355.03,336.50,343.42,31136000,18.53,-3.19
51,2026-01-02,352.78,360.66,345.56,347.62,25398600,15.10,-1.46
52,2025-12-31,349.73,349.88,345.42,346.10,15346100,4.46,-1.04
53,2025-12-30,349.97,352.68,349.30,349.85,16633600,3.38,-0.03
54,2025-12-29,348.72,350.33,344.69,349.39,21946900,5.64,0.19
55,2025-12-26,351.06,353.25,347.75,352.13,15028100,5.50,0.30
56,2025-12-24,350.69,352.86,347.14,350.22,11424400,5.72,-0.13
57,2025-12-23,340.81,350.11,338.54,349.32,28232600,11.57,2.50
58,2025-12-22,346.03,346.24,337.22,341.45,28739600,9.02,-1.32
59,2025-12-19,332.70,342.79,331.94,339.71,159095200,10.85,2.11
60,2025-12-18,335.36,335.39,323.01,329.25,54501900,12.38,-1.82
61,2025-12-17,345.95,345.95,320.81,325.40,73300900,25.14,-5.94
62,2025-12-16,335.38,346.84,334.42,340.65,58061100,12.42,1.57
63,2025-12-15,361.20,361.31,336.87,339.16,65894900,24.44,-6.10
64,2025-12-12,379.23,381.27,354.47,359.24,95588500,26.80,-5.27
65,2025-12-11,404.06,408.52,393.44,405.59,45681600,15.08,0.38
66,2025-12-10,401.43,413.82,398.80,412.18,31531000,15.02,2.68
67,2025-12-09,397.99,406.15,394.75,405.51,24546000,11.40,1.89
68,2025-12-08,401.71,406.51,396.64,400.33,30410600,9.87,-0.34
69,2025-12-05,385.43,392.78,384.41,389.49,24779900,8.36,1.05
70,2025-12-04,379.95,383.16,375.81,380.30,15845900,7.35,0.09
71,2025-12-03,379.27,381.57,369.94,379.88,21336400,11.63,0.16
72,2025-12-02,387.57,392.75,379.06,380.84,22207000,13.68,-1.74
73,2025-12-01,394.10,394.66,384.36,385.34,23252000,10.30,-2.22
74,2025-11-28,398.59,402.23,396.40,402.19,13365500,5.83,0.90
75,2025-11-26,384.81,399.11,382.53,396.81,28693000,16.58,3.12
76,2025-11-25,384.19,387.39,371.04,384.29,33507600,16.35,0.03
77,2025-11-24,347.07,381.27,347.00,377.24,47262400,34.27,8.69
78,2025-11-21,344.50,347.93,331.17,339.55,30280300,16.77,-1.44
79,2025-11-20,365.30,375.36,344.52,346.16,28867000,30.84,-5.24
80,2025-11-19,340.06,359.00,337.15,353.74,21851900,21.85,4.02
81,2025-11-18,342.54,347.31,334.87,339.85,21726800,12.44,-0.79
82,2025-11-17,339.17,351.53,336.88,342.00,14799600,14.65,0.83
83,2025-11-14,330.84,344.08,328.43,341.81,18500800,15.65,3.32
84,2025-11-13,350.91,352.87,333.52,339.33,22616600,19.35,-3.30
85,2025-11-12,357.36,358.18,351.01,354.54,12190500,7.18,-0.79
86,2025-11-11,358.28,361.20,349.00,351.29,16446800,12.20,-1.95
87,2025-11-10,357.22,359.31,353.93,357.71,16409000,5.38,0.14
88,2025-11-07,353.51,353.82,336.63,348.76,21903200,17.20,-1.34
89,2025-11-06,359.42,362.81,352.04,354.91,19896900,10.77,-1.26
90,2025-11-05,350.22,364.17,349.42,358.29,17087600,14.75,2.31
91,2025-11-04,357.84,368.25,350.33,351.27,24047500,17.92,-1.84
92,2025-11-03,371.29,374.13,361.29,361.86,17198900,12.85,-2.54
93,2025-10-31,377.55,378.10,364.40,368.92,21598400,13.69,-2.28
94,2025-10-30,385.66,385.66,369.35,375.75,24295300,16.31,-2.57
95,2025-10-29,372.48,385.74,372.48,385.24,24975200,13.26,3.43
96,2025-10-28,361.93,373.35,361.84,372.26,21056000,11.51,2.85
97,2025-10-27,360.85,362.06,354.40,361.36,20065800,7.66,0.14
98,2025-10-24,351.84,357.62,350.21,353.45,16143700,7.41,0.46
99,2025-10-23,339.75,345.91,339.75,343.63,12859200,6.16,1.14
100,2025-10-22,346.64,347.35,334.87,339.65,19268800,12.48,-2.02
101,2025-10-21,349.33,350.43,340.66,342.01,16092600,9.77,-2.10
102,2025-10-20,353.12,355.91,347.18,348.57,15640200,8.73,-1.29
103,2025-10-17,348.94,350.30,340.13,348.66,20937900,10.17,-0.08
104,2025-10-16,356.12,362.55,348.82,353.47,20317200,13.72,-0.74
105,2025-10-15,353.79,358.71,346.84,350.66,23918500,11.88,-0.89
106,2025-10-14,349.46,350.00,339.00,343.47,22078000,11.00,-1.71
107,2025-10-13,352.10,358.69,342.86,356.02,45984300,15.83,1.11
108,2025-10-10,344.73,349.93,323.43,324.01,28941000,26.50,-6.01
109,2025-10-09,345.09,346.65,339.75,344.36,17643700,6.90,-0.21
110,2025-10-08,333.18,345.88,331.98,344.84,21478300,13.89,3.50
111,2025-10-07,336.39,337.46,325.96,335.77,18086700,11.51,-0.18
112,2025-10-06,335.28,343.47,333.92,334.85,18465700,9.55,-0.13
113,2025-10-03,340.85,343.74,335.10,337.72,14749100,8.64,-0.92
114,2025-10-02,346.95,346.95,334.61,337.53,19917600,12.34,-2.71
115,2025-10-01,327.52,337.30,323.88,332.75,21122700,13.42,1.60
116,2025-09-30,329.49,330.42,323.99,329.28,20109500,6.43,-0.06
117,2025-09-29,335.36,340.40,326.92,327.27,21336000,13.47,-2.41
118,2025-09-26,336.79,338.43,329.95,333.89,15464700,8.48,-0.86
