,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,309.31,312.47,308.86,310.98,6158894,3.61,0.54
1,2026-03-17,305.86,311.42,305.50,310.92,21935800,5.92,1.65
2,2026-03-16,304.35,306.49,303.02,305.56,23519700,3.47,0.40
3,2026-03-13,307.01,307.69,300.44,302.28,23693100,7.25,-1.54
4,2026-03-12,306.82,308.94,301.03,303.55,24928300,7.91,-1.07
5,2026-03-11,306.75,311.42,305.92,308.70,24125700,5.50,0.64
6,2026-03-10,306.17,309.51,305.57,307.04,23239700,3.94,0.28
7,2026-03-09,294.36,306.80,294.08,306.36,29312100,12.72,4.08
8,2026-03-06,295.88,300.32,294.97,298.31,25576900,5.35,0.82
9,2026-03-05,302.83,303.09,297.78,300.67,35752300,5.31,-0.71
10,2026-03-04,302.68,305.26,300.54,302.92,29536200,4.72,0.08
11,2026-03-03,298.38,303.73,296.50,303.37,35497000,7.22,1.67
12,2026-03-02,303.02,308.27,301.09,306.30,34790200,7.18,1.08
13,2026-02-27,303.93,312.15,303.59,311.54,44640600,8.56,2.51
14,2026-02-26,312.42,312.92,302.14,307.16,36431200,10.78,-1.68
15,2026-02-25,311.84,313.42,309.22,312.68,29963600,4.20,0.27
16,2026-02-24,310.30,312.05,305.71,310.68,25615600,6.34,0.12
17,2026-02-23,318.83,319.30,309.65,311.27,31423000,9.64,-2.37
18,2026-02-20,304.11,316.28,303.69,314.76,53210800,12.59,3.50
19,2026-02-19,301.61,305.26,299.83,302.64,25834400,5.43,0.34
20,2026-02-18,301.88,305.17,301.04,303.12,28482100,4.13,0.41
21,2026-02-17,299.83,304.23,296.04,301.81,39247600,8.18,0.66
22,2026-02-13,307.51,308.41,303.50,305.50,38499700,4.92,-0.65
23,2026-02-12,311.87,316.02,306.98,308.78,47761300,9.03,-0.99
24,2026-02-11,318.75,320.83,309.44,310.74,45406400,11.39,-2.51
25,2026-02-10,320.74,321.44,314.39,318.36,39170000,7.06,-0.74
26,2026-02-09,320.70,327.47,317.04,324.09,39640100,10.43,1.06
27,2026-02-06,326.95,330.15,319.69,322.63,56380500,10.45,-1.32
28,2026-02-05,312.00,332.46,306.24,331.02,88205800,26.21,6.10
29,2026-02-04,342.72,343.07,328.29,332.81,70618400,14.78,-2.89
30,2026-02-03,347.10,348.75,337.23,339.47,36506700,11.52,-2.20
31,2026-02-02,335.98,344.59,335.39,343.45,32006100,9.19,2.22
32,2026-01-30,339.76,339.76,332.06,337.76,31024000,7.70,-0.59
33,2026-01-29,340.06,342.05,326.31,338.01,39785600,15.74,-0.60
34,2026-01-28,335.82,337.30,331.71,335.77,27434400,5.60,-0.01
35,2026-01-27,335.13,337.67,333.25,334.31,21636200,4.43,-0.24
36,2026-01-26,327.58,335.60,326.77,333.03,26042100,8.83,1.66
37,2026-01-23,332.26,333.46,327.22,327.70,27280000,6.24,-1.37
38,2026-01-22,334.21,334.91,328.52,330.31,26253600,6.40,-1.17
39,2026-01-21,320.69,332.25,319.13,328.15,35386600,13.12,2.32
40,2026-01-20,320.64,327.50,320.20,321.77,35361000,7.29,0.35
41,2026-01-16,334.17,334.41,327.47,329.77,40341600,6.95,-1.32
42,2026-01-15,337.41,337.45,330.51,332.55,28442400,6.95,-1.44
43,2026-01-14,334.82,336.28,330.25,335.60,28525600,6.04,0.23
44,2026-01-13,334.71,340.25,333.39,335.73,33517600,6.87,0.30
45,2026-01-12,325.57,333.81,324.77,331.63,33923900,9.03,1.86
46,2026-01-09,326.86,330.60,325.57,328.34,26214200,5.03,0.45
47,2026-01-08,328.74,330.09,321.27,325.21,31896100,8.81,-1.07
48,2026-01-07,314.14,325.92,313.97,321.75,35104400,11.95,2.42
49,2026-01-06,316.18,320.71,311.56,314.12,31212100,9.15,-0.65
50,2026-01-05,317.44,318.80,314.41,316.32,30195600,4.39,-0.35
51,2026-01-02,316.68,322.27,310.11,314.93,32009400,12.16,-0.55
52,2025-12-31,312.63,314.36,311.22,312.78,16377700,3.14,0.05
53,2025-12-30,312.28,316.73,312.24,313.63,17380900,4.49,0.43
