,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,616.31,621.79,615.31,621.41,3682807,6.48,0.83
1,2026-03-17,627.99,636.55,621.70,622.66,10328200,14.85,-0.85
2,2026-03-16,632.00,634.75,623.10,627.45,15134900,11.65,-0.72
3,2026-03-13,623.36,628.63,609.03,613.18,18957600,19.60,-1.63
4,2026-03-12,648.20,652.94,636.36,637.63,11617500,16.59,-1.63
5,2026-03-11,654.20,658.56,647.81,654.30,8977200,10.75,0.02
6,2026-03-10,653.00,659.74,648.44,653.51,9859300,11.29,0.08
7,2026-03-09,634.24,647.20,626.24,646.84,13489700,20.95,1.99
8,2026-03-06,647.35,648.91,635.57,644.31,13159400,13.35,-0.47
9,2026-03-05,661.36,670.13,649.75,660.00,13341400,20.37,-0.21
10,2026-03-04,657.40,672.19,657.11,667.16,10810100,15.09,1.48
11,2026-03-03,647.74,658.48,638.29,654.52,12263800,20.18,1.05
12,2026-03-02,636.61,659.38,633.96,653.00,9816100,25.42,2.57
13,2026-02-27,642.90,648.88,637.57,647.63,15703000,11.31,0.74
14,2026-02-26,649.99,660.43,646.95,656.45,10637700,13.49,0.99
15,2026-02-25,641.98,653.32,641.59,653.13,11330700,11.73,1.74
16,2026-02-24,632.54,640.56,628.44,638.75,10135600,12.12,0.98
17,2026-02-23,651.98,657.14,635.46,636.70,8605900,21.68,-2.34
18,2026-02-20,639.14,662.78,638.23,655.10,14183500,24.55,2.50
19,2026-02-19,638.02,646.64,636.18,644.23,10035700,10.46,0.97
20,2026-02-18,633.26,644.45,627.61,642.67,14649200,16.84,1.49
21,2026-02-17,638.95,642.05,628.26,638.74,12674700,13.79,-0.03
22,2026-02-13,644.55,650.87,634.03,639.22,12336400,16.85,-0.83
23,2026-02-12,669.40,675.42,644.73,649.25,14960100,30.69,-3.01
24,2026-02-11,673.42,678.69,656.54,668.12,14323800,22.15,-0.79
25,2026-02-10,677.02,680.07,669.22,670.15,10455800,10.85,-1.02
26,2026-02-09,662.61,682.73,658.22,676.64,14837500,24.51,2.12
27,2026-02-06,664.92,671.42,645.95,660.89,18159300,25.47,-0.61
28,2026-02-05,663.01,680.92,652.94,669.64,17131800,27.98,1.00
29,2026-02-04,687.14,688.24,666.89,668.42,16882800,21.35,-2.72
30,2026-02-03,706.76,716.39,685.82,691.11,13760700,30.56,-2.22
31,2026-02-02,713.99,720.68,702.92,705.81,14365200,17.76,-1.15
32,2026-01-30,726.88,731.54,712.98,715.89,23744600,18.56,-1.51
33,2026-01-29,736.80,743.36,711.94,737.68,59852900,31.42,0.12
34,2026-01-28,673.92,677.10,665.53,668.16,25709600,11.57,-0.86
35,2026-01-27,674.01,676.24,664.09,672.39,13297400,12.15,-0.24
36,2026-01-26,664.56,674.70,660.72,671.78,16327400,13.98,1.09
37,2026-01-23,644.22,665.92,643.90,658.20,22797700,22.02,2.17
38,2026-01-22,628.81,660.00,626.01,647.08,21394700,33.99,2.90
39,2026-01-21,606.22,617.74,599.57,612.44,14494700,18.17,1.03
40,2026-01-20,607.36,610.88,599.49,603.60,15169600,11.39,-0.62
41,2026-01-16,623.65,628.54,619.55,619.72,17012500,8.99,-0.63
42,2026-01-15,617.95,623.64,613.70,620.27,13076100,9.93,0.38
