,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,397.05,398.00,394.33,395.50,5555635,3.67,-0.39
1,2026-03-17,400.27,404.40,397.75,399.41,26200500,6.65,-0.21
2,2026-03-16,398.07,400.63,394.79,399.95,27733700,5.84,0.47
3,2026-03-13,401.00,404.80,394.25,395.55,26848000,10.55,-1.36
4,2026-03-12,404.63,406.12,401.71,401.86,27263900,4.41,-0.68
5,2026-03-11,405.57,409.01,401.59,404.88,25512100,7.42,-0.17
6,2026-03-10,410.03,410.20,402.93,405.76,31706400,7.27,-1.04
7,2026-03-09,404.92,410.21,403.50,409.41,30131900,6.71,1.11
8,2026-03-06,409.20,413.05,408.51,408.96,31123900,4.54,-0.06
9,2026-03-05,404.42,411.61,404.40,410.68,39001300,7.21,1.55
10,2026-03-04,401.27,411.03,400.31,405.20,35808000,10.72,0.98
11,2026-03-03,393.14,406.70,392.67,403.93,38199200,14.03,2.74
12,2026-03-02,392.86,401.19,390.63,398.55,35474900,10.56,1.45
13,2026-02-27,390.88,396.82,389.88,392.74,51367200,6.94,0.48
14,2026-02-26,404.71,407.49,398.74,401.72,34405900,8.75,-0.74
15,2026-02-25,390.53,401.47,390.16,400.60,43625500,11.31,2.58
16,2026-02-24,384.14,389.36,381.71,389.00,33884700,7.65,1.27
17,2026-02-23,395.00,395.36,383.10,384.47,43238300,12.26,-2.67
18,2026-02-20,396.11,400.12,395.16,397.23,34015200,4.96,0.28
19,2026-02-19,400.69,404.43,396.67,398.46,28234000,7.76,-0.56
20,2026-02-18,397.22,401.64,395.42,398.69,23223400,6.23,0.37
21,2026-02-17,398.31,399.61,393.63,395.96,32078800,5.98,-0.59
22,2026-02-13,403.53,404.62,397.14,400.41,34091600,7.47,-0.77
23,2026-02-12,404.08,405.27,397.10,400.92,40802400,8.17,-0.78
24,2026-02-11,415.23,415.51,400.10,403.45,42491000,15.41,-2.84
25,2026-02-10,418.66,422.72,411.76,412.33,44857900,10.95,-1.51
26,2026-02-09,403.93,413.95,399.96,412.66,45480500,13.99,2.16
27,2026-02-06,398.26,400.88,392.03,400.23,53515300,8.85,0.49
28,2026-02-05,406.51,407.37,391.43,392.77,66289200,15.94,-3.38
29,2026-02-04,410.06,418.84,408.31,413.25,45012400,10.54,0.78
30,2026-02-03,421.05,421.09,407.63,410.27,61424100,13.46,-2.56
31,2026-02-02,429.26,429.76,421.29,422.41,42219900,8.47,-1.60
32,2026-01-30,438.17,438.60,425.48,429.31,58566800,13.12,-2.02
33,2026-01-29,438.99,441.49,420.06,432.51,128855300,21.43,-1.48
34,2026-01-28,482.11,482.64,476.91,480.53,36875400,5.73,-0.33
35,2026-01-27,472.62,481.77,472.08,479.49,29213900,9.69,1.45
36,2026-01-26,464.25,473.17,460.95,469.21,29291200,12.22,1.07
37,2026-01-23,450.84,470.03,449.50,464.89,38000200,20.52,3.12
38,2026-01-22,446.60,451.81,443.69,450.11,25349400,8.12,0.79
39,2026-01-21,451.57,451.66,437.68,443.10,37980500,13.98,-1.88
40,2026-01-20,450.19,455.76,448.26,453.48,26130000,7.50,0.73
41,2026-01-16,456.79,462.14,455.44,458.81,34246700,6.69,0.44
42,2026-01-15,463.06,463.19,454.86,455.62,23225800,8.33,-1.61
43,2026-01-14,465.40,467.13,456.13,458.33,28184300,11.00,-1.52
44,2026-01-13,473.60,474.70,464.89,469.60,28545800,9.81,-0.84
45,2026-01-12,475.58,479.89,474.60,476.09,23519900,5.30,0.11
46,2026-01-09,472.98,478.73,471.12,478.19,18491000,7.60,1.10
47,2026-01-08,480.14,481.56,474.78,477.02,18162600,6.78,-0.65
48,2026-01-07,478.67,488.58,476.86,482.37,25564200,11.72,0.77
49,2026-01-06,472.72,477.65,468.68,477.42,23037700,8.97,0.99
50,2026-01-05,472.98,474.99,468.43,471.77,25250300,6.56,-0.26
51,2026-01-02,483.29,483.56,469.09,471.86,25571600,14.47,-2.36
52,2025-12-31,486.73,487.03,482.20,482.52,15601600,4.83,-0.87
53,2025-12-30,484.82,488.56,484.39,486.37,13944500,4.17,0.32
54,2025-12-29,483.76,487.24,483.08,485.99,10893400,4.16,0.46
55,2025-12-26,485.60,487.01,484.85,486.60,8842200,2.16,0.21
56,2025-12-24,484.57,488.05,483.73,486.91,5855900,4.32,0.48
57,2025-12-23,483.88,486.72,483.64,485.74,14683600,3.08,0.39
58,2025-12-22,485.01,487.62,481.59,483.82,16963000,6.03,-0.25
59,2025-12-19,486.25,486.74,481.39,484.81,70836100,5.35,-0.30
60,2025-12-18,477.10,488.49,476.80,482.88,28573500,11.68,1.21
61,2025-12-17,475.82,478.91,473.92,475.04,24527200,4.99,-0.17
62,2025-12-16,470.84,476.80,469.81,475.31,20705600,6.99,0.95
63,2025-12-15,479.01,479.63,471.44,473.74,23727700,8.18,-1.10
64,2025-12-12,478.73,481.35,475.26,477.44,21248100,6.10,-0.27
65,2025-12-11,475.54,484.92,474.78,482.37,24669200,10.15,1.44
66,2025-12-10,482.93,483.15,474.00,477.47,35756200,9.15,-1.13
67,2025-12-09,487.99,491.00,487.39,490.90,14696100,3.61,0.60
68,2025-12-08,483.79,491.18,483.28,489.90,21965900,7.90,1.26
69,2025-12-05,481.42,482.30,477.79,482.06,22608700,4.51,0.13
70,2025-12-04,478.67,480.22,475.40,479.74,22318200,4.82,0.23
71,2025-12-03,475.24,483.14,474.12,476.64,34615100,9.02,0.30
72,2025-12-02,485.61,492.38,485.21,488.88,19562700,7.16,0.67
73,2025-12-01,487.33,488.74,483.55,485.63,23964000,5.20,-0.35
74,2025-11-28,486.49,491.51,485.54,490.89,14386700,5.97,0.90
75,2025-11-26,485.20,487.20,480.10,484.39,25709100,7.09,-0.17
76,2025-11-25,472.99,478.06,463.83,475.90,28019800,14.23,0.62
77,2025-11-24,473.92,475.81,466.95,472.92,34421000,8.86,-0.21
78,2025-11-21,477.41,477.83,467.20,471.04,31769200,10.63,-1.33
79,2025-11-20,491.59,492.45,474.42,477.34,26802500,18.03,-2.90
