,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,182.49,183.38,180.73,182.98,52587346,2.65,0.27
1,2026-03-17,185.06,185.40,181.68,181.93,181805500,3.72,-1.69
2,2026-03-16,182.97,188.88,181.41,183.22,217307400,7.47,0.14
3,2026-03-13,184.92,186.09,179.94,180.25,160988400,6.15,-2.53
4,2026-03-12,184.05,184.94,181.75,183.14,155762700,3.19,-0.49
5,2026-03-11,185.91,187.62,184.45,186.03,145280400,3.17,0.06
6,2026-03-10,182.39,186.43,182.00,184.76,179118500,4.43,1.30
7,2026-03-09,176.82,182.90,175.55,182.64,177213600,7.35,3.29
8,2026-03-06,179.83,182.75,176.81,177.81,189021900,5.94,-1.12
9,2026-03-05,181.16,184.05,177.87,183.33,198779700,6.18,1.20
10,2026-03-04,180.43,184.69,180.05,183.03,177731200,4.64,1.44
11,2026-03-03,178.48,180.89,176.91,180.04,178099400,3.98,0.87
12,2026-03-02,175.00,183.45,174.63,182.47,209095300,8.82,4.27
13,2026-02-27,181.24,182.58,176.37,177.18,311636500,6.21,-2.24
14,2026-02-26,194.26,194.28,184.31,184.88,360807900,9.97,-4.83
15,2026-02-25,194.44,197.62,193.78,195.55,250637100,3.84,0.57
16,2026-02-24,191.48,193.76,187.39,192.84,175123600,6.37,0.71
17,2026-02-23,191.39,193.94,189.57,191.54,171584800,4.37,0.08
18,2026-02-20,186.56,190.32,185.93,189.81,178422300,4.39,1.74
19,2026-02-19,187.05,188.42,185.65,187.89,126554500,2.77,0.45
20,2026-02-18,188.74,190.36,186.75,187.97,164749100,3.61,-0.41
21,2026-02-17,181.74,187.14,179.17,184.96,162276900,7.97,1.77
22,2026-02-13,187.47,187.49,181.58,182.80,161888000,5.91,-2.49
23,2026-02-12,193.02,193.60,186.50,186.93,189932500,7.10,-3.15
24,2026-02-11,192.44,193.25,188.76,190.04,144192700,4.49,-1.25
25,2026-02-10,191.37,192.47,188.11,188.53,136764800,4.36,-1.48
26,2026-02-09,184.25,193.65,183.94,190.03,196387400,9.71,3.14
27,2026-02-06,176.68,186.99,174.59,185.40,231346200,12.40,4.94
28,2026-02-05,174.92,176.81,171.02,171.87,206312900,5.79,-1.74
29,2026-02-04,179.45,179.57,171.90,174.18,207014100,7.67,-2.94
30,2026-02-03,186.23,186.26,176.22,180.33,204019600,10.04,-3.17
31,2026-02-02,187.19,190.29,184.87,185.60,165794100,5.42,-0.85
32,2026-01-30,191.20,194.48,189.46,191.12,179489500,5.02,-0.04
33,2026-01-29,191.33,193.47,186.05,192.50,171764400,7.42,0.61
34,2026-01-28,191.26,192.34,189.83,191.51,148552700,2.51,0.13
35,2026-01-27,187.23,189.99,185.69,188.51,143711600,4.30,0.68
36,2026-01-26,187.15,189.11,185.98,186.46,124799600,3.13,-0.37
37,2026-01-23,187.49,189.59,186.81,187.66,142748100,2.78,0.09
38,2026-01-22,184.74,186.16,183.92,184.83,139636600,2.24,0.05
39,2026-01-21,179.04,185.37,178.39,183.31,200381000,6.98,2.38
40,2026-01-20,181.89,182.37,177.60,178.06,223345300,4.77,-2.11
41,2026-01-16,189.07,190.43,186.07,186.22,187967200,4.36,-1.51
42,2026-01-15,186.49,189.69,186.32,187.04,206188600,3.37,0.29
43,2026-01-14,184.31,184.45,180.79,183.13,159586100,3.66,-0.64
44,2026-01-13,184.99,188.10,183.39,185.80,160128900,4.71,0.44
45,2026-01-12,183.21,187.11,183.01,184.93,137968500,4.10,0.94
46,2026-01-09,185.07,186.33,183.66,184.85,131327500,2.67,-0.12
47,2026-01-08,189.10,189.54,183.70,185.03,172457000,5.84,-2.15
48,2026-01-07,188.56,191.36,186.55,189.10,153543200,4.81,0.29
49,2026-01-06,190.51,192.16,186.81,187.23,176862600,5.35,-1.72
50,2026-01-05,191.75,193.62,186.14,188.11,183529700,7.48,-1.90
51,2026-01-02,189.83,192.92,188.25,188.84,148240500,4.67,-0.52
52,2025-12-31,189.56,190.55,186.48,186.49,120100500,4.07,-1.62
53,2025-12-30,188.23,188.98,186.92,187.53,97687300,2.06,-0.37
54,2025-12-29,187.70,188.75,185.90,188.21,120006100,2.85,0.27
55,2025-12-26,189.91,192.68,187.99,190.52,139740300,4.69,0.32
56,2025-12-24,187.93,188.90,186.58,188.60,65528500,2.32,0.36
57,2025-12-23,182.96,189.32,182.89,189.20,174873600,6.43,3.41
58,2025-12-22,183.91,184.15,182.34,183.68,129064400,1.81,-0.13
59,2025-12-19,176.66,181.44,176.33,180.98,324925900,5.11,2.45
60,2025-12-18,174.52,176.14,171.81,174.13,176096000,4.33,-0.22
61,2025-12-17,176.09,176.12,170.30,170.93,222775500,5.82,-2.93
62,2025-12-16,176.25,178.48,174.89,177.71,148588100,3.59,0.83
63,2025-12-15,177.93,178.41,175.02,176.28,164775600,3.39,-0.93
64,2025-12-12,181.10,182.81,174.61,175.01,204274900,8.20,-3.36
65,2025-12-11,180.27,181.31,176.61,180.92,182136600,4.70,0.36
66,2025-12-10,184.96,185.47,182.03,183.77,162785400,3.44,-0.64
67,2025-12-09,185.55,185.71,183.31,184.96,144719700,2.40,-0.32
