,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,153.40,154.69,152.04,152.96,4685876,2.65,-0.29
1,2026-03-17,155.44,158.92,153.50,154.69,23891200,5.42,-0.48
2,2026-03-16,156.06,158.74,154.51,155.97,21607700,4.23,-0.06
3,2026-03-13,159.05,160.77,154.15,155.11,26350400,6.62,-2.48
4,2026-03-12,164.66,167.83,158.61,159.16,37133700,9.22,-3.34
5,2026-03-11,166.38,171.76,160.58,163.12,83247500,11.18,-1.96
6,2026-03-10,153.62,154.14,148.45,149.40,51544600,5.69,-2.75
7,2026-03-09,150.70,152.00,146.43,151.56,31173500,5.57,0.57
8,2026-03-06,152.92,159.19,151.62,152.96,38000600,7.57,0.03
9,2026-03-05,152.59,157.94,150.12,154.79,24094800,7.82,1.44
10,2026-03-04,150.01,153.61,149.10,152.37,17585400,4.51,1.57
11,2026-03-03,144.75,150.93,143.05,149.01,20120800,7.88,2.94
12,2026-03-02,141.62,150.17,141.18,149.25,22418800,8.99,5.39
13,2026-02-27,143.88,146.08,142.10,145.40,36425200,3.98,1.06
14,2026-02-26,148.79,152.50,145.15,150.31,20652200,7.35,1.02
15,2026-02-25,149.16,153.28,147.34,147.89,27303900,5.94,-0.85
16,2026-02-24,140.84,146.76,138.73,146.14,21336600,8.03,3.76
17,2026-02-23,145.69,145.80,138.59,141.31,31749800,7.21,-3.01
18,2026-02-20,153.30,153.99,147.39,148.08,29621900,6.60,-3.41
19,2026-02-19,157.19,160.08,155.77,156.54,14976300,4.31,-0.41
20,2026-02-18,154.41,157.30,151.37,156.17,14801100,5.93,1.14
21,2026-02-17,157.98,159.28,152.88,153.97,19610800,6.40,-2.54
22,2026-02-13,159.25,162.30,155.29,160.14,18597000,7.01,0.56
23,2026-02-12,157.93,159.04,152.50,156.48,23285400,6.54,-0.92
24,2026-02-11,163.66,163.66,154.00,157.16,24538900,9.66,-3.97
25,2026-02-10,160.00,165.39,156.96,159.89,40092200,8.43,-0.07
26,2026-02-09,148.49,159.75,147.00,156.59,49936500,12.75,5.45
27,2026-02-06,139.75,143.20,138.91,142.82,29962400,4.29,2.20
28,2026-02-05,145.60,146.55,135.25,136.48,42789000,11.30,-6.26
29,2026-02-04,153.89,153.94,144.43,146.67,42323400,9.51,-4.69
30,2026-02-03,158.26,159.38,151.90,154.67,43260100,7.48,-2.27
31,2026-02-02,170.92,171.20,160.00,160.06,47421000,11.20,-6.35
32,2026-01-30,168.17,168.90,163.24,164.58,27362400,5.66,-2.13
33,2026-01-29,170.15,170.23,161.52,169.01,37254500,8.71,-0.67
34,2026-01-28,174.92,181.68,171.86,172.80,35882700,9.82,-1.21
35,2026-01-27,179.19,179.72,173.68,174.90,27093700,6.04,-2.39
36,2026-01-26,179.10,185.31,178.53,182.44,21100400,6.78,1.86
37,2026-01-23,172.62,179.65,172.00,177.16,23011300,7.65,2.63
38,2026-01-22,179.37,180.16,176.50,178.18,21141900,3.66,-0.66
39,2026-01-21,179.68,180.60,170.60,173.88,38190000,10.00,-3.23
40,2026-01-20,187.19,187.19,179.36,179.92,29129500,7.83,-3.88
41,2026-01-16,189.91,191.87,186.53,191.09,19224700,5.34,0.62
42,2026-01-15,195.01,195.01,189.39,189.85,16418600,5.62,-2.65
43,2026-01-14,201.68,201.68,190.81,193.61,22473200,10.87,-4.00
44,2026-01-13,205.00,207.80,200.66,202.29,15857400,7.14,-1.32
45,2026-01-12,197.60,206.60,197.01,204.68,25428500,9.59,3.58
46,2026-01-09,191.66,200.18,188.78,198.52,26152700,11.40,3.58
47,2026-01-08,190.38,190.45,185.66,189.15,19468500,4.79,-0.64
48,2026-01-07,194.79,195.15,191.49,192.33,11171200,3.66,-1.26
49,2026-01-06,192.05,194.37,190.20,193.24,16474500,4.17,0.62
50,2026-01-05,197.82,201.16,191.82,192.08,22635500,9.34,-2.90
51,2026-01-02,196.95,198.07,193.70,195.19,14540700,4.37,-0.89
