,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,399.00,403.07,397.57,398.57,17993042,5.49,-0.11
1,2026-03-17,395.69,400.12,393.00,399.27,46804000,7.12,0.90
2,2026-03-16,396.22,403.73,394.42,395.56,58068300,9.31,-0.17
3,2026-03-13,399.17,400.20,389.95,391.20,58504100,10.25,-2.00
4,2026-03-12,405.18,406.50,394.65,395.01,60973800,11.85,-2.51
5,2026-03-11,402.28,416.38,402.15,407.82,62559900,14.23,1.38
6,2026-03-10,402.22,406.59,398.19,399.24,59258700,8.40,-0.74
7,2026-03-09,390.05,401.59,381.40,398.68,67018900,20.19,2.21
8,2026-03-06,398.09,402.35,394.21,396.73,64054600,8.14,-0.34
9,2026-03-05,401.57,408.62,399.42,405.55,51925900,9.20,0.99
10,2026-03-04,397.85,408.33,394.58,405.94,68305500,13.75,2.03
11,2026-03-03,395.09,396.34,385.39,392.43,62617300,10.95,-0.67
12,2026-03-02,390.60,404.54,388.25,403.32,55088300,16.29,3.26
13,2026-02-27,402.94,407.12,398.11,402.51,56890100,9.01,-0.11
14,2026-02-26,414.42,416.81,403.66,408.58,53602500,13.15,-1.41
15,2026-02-25,412.15,420.34,412.15,417.40,54809700,8.19,1.27
16,2026-02-24,399.50,410.82,397.64,409.38,58579500,13.18,2.47
17,2026-02-23,407.29,407.70,394.04,399.83,69680000,13.66,-1.83
18,2026-02-20,408.30,414.70,405.50,411.82,57912200,9.20,0.86
19,2026-02-19,407.25,415.25,404.11,411.71,51019600,11.14,1.10
20,2026-02-18,411.11,416.90,409.58,411.32,45921400,7.32,0.05
21,2026-02-17,412.36,413.72,400.51,410.63,59678800,13.21,-0.42
22,2026-02-13,414.31,424.06,410.88,417.44,51434100,13.18,0.76
23,2026-02-12,430.30,436.23,414.00,417.07,61933400,22.23,-3.07
24,2026-02-11,427.96,436.35,420.03,428.27,57362000,16.32,0.07
25,2026-02-10,418.08,427.25,417.00,425.21,64450200,10.25,1.71
26,2026-02-09,409.91,421.25,407.29,417.32,54484300,13.96,1.81
27,2026-02-06,400.87,414.55,397.75,411.11,62677100,16.80,2.55
28,2026-02-05,397.02,402.10,387.53,397.21,72819800,14.57,0.05
29,2026-02-04,420.46,423.90,399.18,406.01,74606900,24.72,-3.44
30,2026-02-03,424.27,428.56,413.69,421.96,56886500,14.87,-0.54
31,2026-02-02,421.29,427.15,414.50,421.81,58739500,12.65,0.12
32,2026-01-30,425.35,439.88,422.70,430.41,82626100,17.18,1.19
33,2026-01-29,437.80,440.23,414.62,416.56,81686100,25.61,-4.85
34,2026-01-28,431.91,438.26,430.10,431.46,54857400,8.16,-0.10
35,2026-01-27,437.41,437.52,430.69,430.90,37733100,6.83,-1.49
36,2026-01-26,445.00,445.04,434.28,435.20,49397400,10.76,-2.20
37,2026-01-23,447.43,452.43,444.04,449.06,56771400,8.39,0.36
38,2026-01-22,435.16,449.50,432.63,449.36,71546700,16.87,3.26
39,2026-01-21,421.66,438.20,419.62,431.44,68124000,18.58,2.32
40,2026-01-20,429.36,430.73,417.44,419.25,63187300,13.29,-2.35
41,2026-01-16,439.50,447.25,435.26,437.50,60220600,11.99,-0.46
42,2026-01-15,441.13,445.36,437.65,438.57,49465800,7.71,-0.58
43,2026-01-14,442.81,443.91,434.22,439.20,57259500,9.69,-0.82
44,2026-01-13,450.20,451.81,443.95,447.20,53719200,7.86,-0.67
45,2026-01-12,441.23,454.30,438.00,448.96,61649600,16.30,1.75
46,2026-01-09,435.95,449.05,430.39,445.01,67331500,18.66,2.08
47,2026-01-08,427.89,436.89,424.37,435.80,57041100,12.52,1.85
48,2026-01-07,435.90,438.37,431.29,431.41,59828800,7.08,-1.03
49,2026-01-06,446.38,448.25,428.78,432.96,89093800,19.47,-3.01
50,2026-01-05,447.99,457.55,444.57,451.67,67940800,12.98,0.82
51,2026-01-02,457.80,458.34,435.30,438.07,85535400,23.04,-4.31
52,2025-12-31,456.10,456.55,449.30,449.72,49078000,7.25,-1.40
53,2025-12-30,461.09,463.12,453.83,454.43,59238500,9.29,-1.44
54,2025-12-29,469.00,469.40,459.00,459.64,66263000,10.40,-2.00
55,2025-12-26,485.23,489.09,473.82,475.19,58780700,15.27,-2.07
56,2025-12-24,488.48,490.90,476.80,485.40,41285400,14.10,-0.63
57,2025-12-23,489.40,491.97,482.84,485.56,58223600,9.13,-0.78
58,2025-12-22,489.88,498.83,485.33,488.73,86916100,13.50,-0.23
59,2025-12-19,488.12,490.49,474.72,481.20,103305400,15.77,-1.42
60,2025-12-18,478.16,490.86,473.12,483.37,95168400,17.74,1.09
61,2025-12-17,488.22,495.28,466.20,467.26,106490400,29.08,-4.29
62,2025-12-16,472.21,491.50,465.83,489.88,107608100,25.67,3.74
63,2025-12-15,469.44,481.77,467.66,475.31,114542200,14.11,1.25
64,2025-12-12,448.09,463.01,441.67,458.96,95656700,21.34,2.43
65,2025-12-11,448.95,449.27,440.33,446.89,55979500,8.94,-0.46
66,2025-12-10,446.07,456.88,443.61,451.45,63257500,13.27,1.21
67,2025-12-09,437.54,452.39,435.70,445.17,62367400,16.69,1.74
68,2025-12-08,447.45,449.75,435.25,439.58,69165800,14.50,-1.76
69,2025-12-05,453.03,458.87,451.66,455.00,56427500,7.21,0.43
70,2025-12-04,449.94,454.63,445.39,454.53,71906500,9.24,1.02
71,2025-12-03,432.10,447.92,431.11,446.74,87483000,16.81,3.39
72,2025-12-02,430.81,436.80,422.12,429.24,69336600,14.68,-0.36
73,2025-12-01,425.32,433.66,425.29,430.14,57463600,8.37,1.13
74,2025-11-28,426.59,432.93,426.20,430.17,36252900,6.73,0.84
75,2025-11-26,423.95,426.94,416.89,426.58,63463000,10.05,0.62
76,2025-11-25,414.42,420.48,405.95,419.40,71915600,14.53,1.20
77,2025-11-24,402.17,421.72,401.09,417.78,96806400,20.63,3.88
78,2025-11-21,402.32,402.80,383.76,391.09,100460600,19.04,-2.79
79,2025-11-20,414.63,428.94,394.74,395.23,113548800,34.20,-4.68
80,2025-11-19,406.18,411.78,398.50,403.99,72047700,13.28,-0.54
81,2025-11-18,405.38,408.90,393.71,401.25,80688600,15.19,-1.02
82,2025-11-17,398.74,423.96,398.74,408.92,102214300,25.22,2.55
83,2025-11-14,386.30,412.19,382.78,404.35,105506700,29.41,4.67
84,2025-11-13,423.13,424.50,396.34,401.99,118948000,28.16,-5.00
85,2025-11-12,442.15,442.33,426.56,430.60,58513500,15.77,-2.61
86,2025-11-11,439.40,442.49,432.36,439.62,60533200,10.13,0.05
87,2025-11-10,439.60,449.67,433.36,445.23,76515900,16.31,1.28
88,2025-11-07,437.92,439.36,421.88,429.52,103471500,17.48,-1.92
89,2025-11-06,461.96,467.45,435.09,445.91,109622900,32.36,-3.47
90,2025-11-05,452.05,466.33,440.71,462.07,85573000,25.62,2.22
91,2025-11-04,454.46,460.22,443.60,444.26,87756600,16.62,-2.24
92,2025-11-03,455.99,474.07,453.80,468.37,84595200,20.27,2.71
93,2025-10-31,446.75,458.00,443.69,456.56,83135800,14.31,2.20
94,2025-10-30,451.05,455.06,439.61,440.10,72447900,15.45,-2.43
95,2025-10-29,462.50,465.70,452.65,461.51,67983500,13.05,-0.21
96,2025-10-28,454.78,467.00,451.60,460.55,80185700,15.40,1.27
97,2025-10-27,439.98,460.16,438.69,452.42,105867500,21.47,2.83
98,2025-10-24,446.83,451.68,430.17,433.72,94727800,21.51,-2.93
99,2025-10-23,420.00,449.40,413.90,448.98,126709800,35.50,6.90
100,2025-10-22,443.45,445.54,429.00,438.97,84023500,16.54,-1.01
101,2025-10-21,445.76,449.30,442.05,442.60,54412200,7.25,-0.71
102,2025-10-20,443.87,449.80,440.61,447.43,63719000,9.19,0.80
103,2025-10-17,425.50,441.46,423.60,439.31,89331600,17.86,3.25
104,2025-10-16,434.73,439.35,421.31,428.75,77189900,18.04,-1.38
105,2025-10-15,434.90,440.51,426.33,435.15,71558200,14.18,0.06
106,2025-10-14,426.79,434.20,417.86,429.24,72669400,16.34,0.57
107,2025-10-13,423.53,436.89,419.70,435.90,79552800,17.19,2.92
108,2025-10-10,436.54,443.13,411.45,413.49,112107900,31.68,-5.28
109,2025-10-09,431.81,436.35,426.18,435.54,69339900,10.17,0.86
110,2025-10-08,437.57,441.33,425.23,438.69,71192100,16.10,0.26
111,2025-10-07,447.82,452.68,432.45,433.09,102296100,20.23,-3.29
112,2025-10-06,440.75,453.55,436.69,453.25,85324900,16.86,2.84
113,2025-10-03,443.29,446.77,416.58,429.83,133188200,30.19,-3.04
114,2025-10-02,470.54,470.75,435.57,436.00,137009000,35.18,-7.34
115,2025-10-01,443.80,462.29,440.75,459.46,98122300,21.54,3.53
116,2025-09-30,441.52,445.00,433.12,444.72,74358000,11.88,0.72
117,2025-09-29,444.35,450.98,439.50,443.21,79491500,11.48,-0.26
118,2025-09-26,428.30,440.47,421.02,440.40,101628200,19.45,2.83
119,2025-09-25,435.24,435.35,419.08,423.39,96746400,16.27,-2.72
120,2025-09-24,429.83,444.21,429.03,442.79,93133600,15.18,3.02
121,2025-09-23,439.88,440.97,423.72,425.85,83422700,17.25,-3.19
