,Date,Open,High,Low,Close,Volume,Range,% Chg
0,2026-03-18,345.77,347.95,342.42,343.89,2969622,5.53,-0.54
1,2026-03-17,340.60,346.76,338.40,345.98,11413700,8.36,1.58
2,2026-03-16,340.29,343.66,338.87,339.27,11123500,4.80,-0.30
3,2026-03-13,342.95,343.55,335.28,337.36,17299900,8.28,-1.63
4,2026-03-12,344.96,345.92,335.43,335.76,17549400,10.48,-2.67
5,2026-03-11,352.94,356.35,349.38,353.56,10683300,6.97,0.18
6,2026-03-10,347.49,352.51,343.34,346.11,12985600,9.16,-0.40
7,2026-03-09,334.66,348.42,330.99,347.72,19182800,17.43,3.90
8,2026-03-06,342.53,347.74,335.74,337.94,13803000,12.00,-1.34
9,2026-03-05,353.90,358.46,342.83,352.87,16249800,15.63,-0.29
10,2026-03-04,356.43,360.08,353.55,356.44,12131100,6.52,0.00
11,2026-03-03,348.57,354.98,343.17,352.14,18580200,11.81,1.02
12,2026-03-02,364.33,372.05,363.63,368.07,12571600,8.43,1.03
13,2026-02-27,369.10,375.62,367.58,373.53,9186600,8.04,1.20
14,2026-02-26,385.09,385.38,368.66,375.75,14535700,16.72,-2.43
15,2026-02-25,389.11,389.11,383.75,386.64,10948400,5.36,-0.64
16,2026-02-24,378.33,388.09,374.99,384.67,13269500,13.09,1.67
17,2026-02-23,365.98,372.38,365.43,369.00,9550200,6.95,0.83
18,2026-02-20,358.77,371.15,358.09,369.50,9009200,13.06,2.99
19,2026-02-19,358.71,361.78,356.44,359.38,6346500,5.34,0.19
20,2026-02-18,362.84,368.35,359.70,361.24,7310500,8.66,-0.44
21,2026-02-17,360.85,365.17,355.24,363.18,10063800,9.93,0.64
22,2026-02-13,368.11,370.07,359.76,365.33,10468200,10.31,-0.76
23,2026-02-12,377.94,378.93,321.19,367.07,16835400,57.74,-2.88
24,2026-02-11,369.04,378.51,367.35,373.04,18651300,11.16,1.08
25,2026-02-10,363.31,363.74,355.39,360.89,14622100,8.35,-0.66
26,2026-02-09,347.78,358.59,346.82,354.41,14594900,11.77,1.91
27,2026-02-06,336.55,348.74,335.70,347.87,17025500,13.03,3.36
28,2026-02-05,321.91,333.63,318.75,329.80,14812000,14.88,2.45
29,2026-02-04,334.66,337.85,318.17,324.82,18176000,19.67,-2.94
30,2026-02-03,344.10,346.07,329.09,334.81,12540000,16.98,-2.70
31,2026-02-02,329.83,343.23,328.18,340.40,12459100,15.06,3.20
