Date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSM,AVGO,TSLA,ORCL
2026-03-18,215.04,178.48,1437.21,308.35,140.07,223.07,325.49,761.47,182.79,244.62
2026-03-17,216.56,180.41,1433.59,310.18,142.14,225.23,328.29,769.51,183.39,248.20
2026-03-16,215.36,180.65,1443.76,304.83,139.86,226.97,321.93,778.15,181.68,250.25
2026-03-13,213.06,178.67,1420.35,301.56,137.17,221.81,320.11,771.54,179.68,248.87
2026-03-12,217.86,181.52,1443.12,302.83,138.40,230.65,318.60,804.62,181.43,255.37
2026-03-11,222.16,182.88,1465.90,307.97,140.46,236.68,335.48,818.03,187.31,261.73
2026-03-10,222.18,183.28,1455.89,306.31,141.57,236.39,328.42,820.45,183.37,239.71
2026-03-09,221.37,184.93,1439.19,305.63,141.01,233.98,329.94,828.04,183.12,243.18
2026-03-06,219.31,184.72,1401.13,297.60,140.83,233.06,320.66,791.47,182.22,245.42
2026-03-05,221.72,185.50,1444.62,299.95,144.61,238.74,334.82,796.95,186.27,248.36
2026-03-04,223.62,183.03,1442.26,302.20,143.21,241.33,338.21,760.45,186.45,244.48
2026-03-03,224.67,182.45,1418.70,302.64,137.87,236.76,334.13,751.62,180.25,239.09
2026-03-02,225.49,180.02,1437.85,305.58,137.64,236.21,349.25,763.54,185.25,239.47
2026-02-27,225.03,177.40,1396.16,310.80,138.71,234.26,354.43,765.29,184.88,233.29
2026-02-26,232.50,181.45,1456.84,306.43,137.33,237.46,356.54,770.44,187.66,241.17
2026-02-25,233.59,180.95,1540.91,311.94,139.13,236.26,366.87,795.85,191.71,237.29
2026-02-24,231.81,175.71,1519.56,309.94,137.75,231.06,365.00,779.52,188.03,234.48
2026-02-23,226.74,173.66,1509.31,310.53,135.58,230.31,350.13,791.13,183.64,226.73
2026-02-20,225.37,179.43,1495.68,314.01,138.78,236.97,350.61,796.67,189.15,237.59
2026-02-19,221.97,179.98,1480.55,301.92,135.31,233.04,341.00,799.87,189.10,251.17
2026-02-18,225.18,180.09,1481.18,302.40,135.26,232.47,342.77,798.73,188.92,250.57
2026-02-17,224.78,178.85,1457.47,301.09,132.86,231.05,344.61,796.40,188.60,247.04
2026-02-13,217.88,180.86,1440.45,304.78,131.30,231.22,346.65,778.75,191.73,256.94
2026-02-12,222.95,181.09,1472.99,308.05,131.84,234.85,348.30,793.12,191.56,251.07
2026-02-11,234.68,182.23,1497.49,310.00,134.80,241.68,353.96,820.88,196.71,252.16
2026-02-10,233.13,186.25,1485.60,317.60,136.70,242.41,342.44,815.32,195.30,256.54
2026-02-09,233.93,186.39,1497.42,323.32,137.86,244.76,336.29,823.70,191.68,251.25
2026-02-06,236.69,180.78,1460.93,321.87,138.92,239.06,330.08,797.31,188.83,229.15
2026-02-05,234.81,177.41,1354.32,330.23,147.09,242.23,312.94,743.64,182.44,218.98
2026-02-04,235.30,186.66,1372.53,332.01,153.89,241.79,308.22,737.75,186.48,235.33
2026-02-03,229.33,185.32,1420.98,338.66,157.61,249.99,317.69,767.16,193.81,248.17
2026-02-02,229.78,190.80,1462.51,342.63,160.48,255.31,322.99,792.98,193.74,256.82
2026-01-30,220.82,193.92,1506.00,336.96,158.06,258.96,312.78,793.43,197.69,264.07
2026-01-29,219.80,195.36,1516.88,337.21,159.66,266.84,321.28,792.07,191.33,271.18
2026-01-28,218.24,217.05,1509.08,334.97,160.51,241.69,323.88,798.08,198.17,277.26
2026-01-27,219.79,216.58,1485.44,333.52,161.61,243.22,320.14,797.00,197.91,280.63
2026-01-26,217.36,211.94,1469.29,332.23,157.48,243.00,314.81,777.99,199.89,292.72
2026-01-23,211.09,209.99,1478.74,326.92,157.97,238.09,316.85,766.49,206.26,284.25
2026-01-22,211.35,203.31,1456.44,329.52,154.78,234.07,309.76,779.52,206.39,285.89
2026-01-21,210.76,200.14,1444.47,327.37,152.78,221.54,308.57,787.45,198.16,278.99
2026-01-20,209.95,204.84,1403.10,321.01,152.58,218.34,309.56,796.55,192.56,288.68
2026-01-16,217.46,207.24,1467.39,328.98,157.94,224.17,323.98,842.31,200.95,306.60
