"Notes","County of Residence","County of Residence Code",Births,Total Population,Birth Rate
,"Baldwin County, AL","01003",2745,261608,10.49
,"Calhoun County, AL","01015",1256,116427,10.79
,"Etowah County, AL","01055",1224,103207,11.86
,"Houston County, AL","01069",1250,109366,11.43
,"Jefferson County, AL","01073",7885,664744,11.86
,"Lee County, AL","01081",1994,187847,10.62
,"Madison County, AL","01089",4635,423355,10.95
,"Mobile County, AL","01097",4780,412339,11.59
,"Montgomery County, AL","01101",2757,225894,12.20
,"Morgan County, AL","01103",1457,126084,11.56
,"Shelby County, AL","01117",2323,235969,9.84
,"Tuscaloosa County, AL","01125",2549,241212,10.57
,"Unidentified Counties, AL","01999",23079,2049647,11.26
,"Anchorage Borough, AK","02020",3497,289600,12.08
,"Unidentified Counties, AK","02999",5446,450533,12.09
,"Cochise County, AZ","04003",1183,125773,9.41
,"Coconino County, AZ","04005",1240,145161,8.54
,"Maricopa County, AZ","04013",50902,4673096,10.89
,"Mohave County, AZ","04015",1778,226479,7.85
,"Navajo County, AZ","04017",1198,109516,10.94
,"Pima County, AZ","04019",9726,1080149,9.00
,"Pinal County, AZ","04021",5625,513862,10.95
,"Yavapai County, AZ","04025",1790,252013,7.10
,"Yuma County, AZ","04027",2788,220310,12.65
,"Unidentified Counties, AZ","04999",2481,236025,10.51
,"Benton County, AR","05007",4012,321566,12.48
,"Faulkner County, AR","05045",1501,131611,11.40
,"Pulaski County, AR","05119",4725,401209,11.78
,"Saline County, AR","05125",1430,131252,10.90
,"Sebastian County, AR","05131",1601,130035,12.31
,"Washington County, AR","05143",3397,266184,12.76
,"Unidentified Counties, AR","05999",18729,1706497,10.98
,"Alameda County, CA","06001",16023,1649060,9.72
,"Butte County, CA","06007",1986,208334,9.53
,"Contra Costa County, CA","06013",10888,1172607,9.29
,"El Dorado County, CA","06017",1524,192823,7.90
,"Fresno County, CA","06019",13237,1024125,12.93
,"Humboldt County, CA","06023",1062,132380,8.02
,"Imperial County, CA","06025",2189,181724,12.05
,"Kern County, CA","06029",11763,922529,12.75
,"Kings County, CA","06031",2177,154913,14.05
,"Los Angeles County, CA","06037",90507,9757179,9.28
,"Madera County, CA","06039",2135,165432,12.91
,"Marin County, CA","06041",2041,256400,7.96
,"Merced County, CA","06047",3756,296774,12.66
,"Monterey County, CA","06053",5171,436251,11.85
,"Napa County, CA","06055",1104,132727,8.32
,"Orange County, CA","06059",30926,3170435,9.75
,"Placer County, CA","06061",3952,433822,9.11
,"Riverside County, CA","06065",26982,2529933,10.67
,"Sacramento County, CA","06067",17439,1611231,10.82
,"San Bernardino County, CA","06071",25284,2214281,11.42
,"San Diego County, CA","06073",35931,3298799,10.89
,"San Francisco County, CA","06075",6930,827526,8.37
,"San Joaquin County, CA","06077",9675,816108,11.86
,"San Luis Obispo County, CA","06079",2368,281843,8.40
,"San Mateo County, CA","06081",7288,742893,9.81
,"Santa Barbara County, CA","06083",5383,444500,12.11
,"Santa Clara County, CA","06085",18729,1926325,9.72
,"Santa Cruz County, CA","06087",2074,262406,7.90
,"Shasta County, CA","06089",1725,181121,9.52
,"Solano County, CA","06095",4612,455101,10.13
,"Sonoma County, CA","06097",4364,485375,8.99
,"Stanislaus County, CA","06099",6719,556972,12.06
,"Tulare County, CA","06107",6562,483546,13.57
,"Ventura County, CA","06111",8419,835427,10.08
,"Yolo County, CA","06113",1811,225251,8.04
,"Unidentified Counties, CA","06999",9339,965110,9.68
,"Adams County, CO","08001",6531,542973,12.03
,"Arapahoe County, CO","08005",7696,666918,11.54
,"Boulder County, CO","08013",2426,330262,7.35
,"Denver County, CO","08031",9372,729019,12.86
,"Douglas County, CO","08035",4098,393995,10.40
,"El Paso County, CO","08041",9144,752772,12.15
,"Jefferson County, CO","08059",5532,578533,9.56
,"Larimer County, CO","08069",3113,374574,8.31
,"Mesa County, CO","08077",1557,161260,9.66
,"Pueblo County, CO","08101",1634,169866,9.62
,"Weld County, CO","08123",5062,369745,13.69
