"IBRC_Geo_ID","Metrofips/Microfips","Description","Year","Geography","BEA Per Capita Personal Income"
"210100","10100","Aberdeen, SD","2001","Micro","29766"
"210100","10100","Aberdeen, SD","2002","Micro","29792"
"210100","10100","Aberdeen, SD","2003","Micro","31460"
"210100","10100","Aberdeen, SD","2004","Micro","34646"
"210100","10100","Aberdeen, SD","2005","Micro","36500"
"210100","10100","Aberdeen, SD","2006","Micro","37797"
"210100","10100","Aberdeen, SD","2007","Micro","41158"
"210100","10100","Aberdeen, SD","2008","Micro","43844"
"210100","10100","Aberdeen, SD","2009","Micro","40517"
"210100","10100","Aberdeen, SD","2010","Micro","41076"
"210100","10100","Aberdeen, SD","2011","Micro","47333"
"210100","10100","Aberdeen, SD","2012","Micro","47939"
"210100","10100","Aberdeen, SD","2013","Micro","50744"
"210100","10100","Aberdeen, SD","2014","Micro","50512"
"210100","10100","Aberdeen, SD","2015","Micro","51514"
"210100","10100","Aberdeen, SD","2016","Micro","49821"
"210100","10100","Aberdeen, SD","2017","Micro","49475"
"210100","10100","Aberdeen, SD","2018","Micro","53295"
"210100","10100","Aberdeen, SD","2019","Micro","54143"
"210100","10100","Aberdeen, SD","2020","Micro","61400"
"210100","10100","Aberdeen, SD","2021","Micro","72304"
"210100","10100","Aberdeen, SD","2022","Micro","76672"
"210100","10100","Aberdeen, SD","2023","Micro","77242"
"210140","10140","Aberdeen, WA","2001","Micro","22905"
"210140","10140","Aberdeen, WA","2002","Micro","23636"
"210140","10140","Aberdeen, WA","2003","Micro","24638"
"210140","10140","Aberdeen, WA","2004","Micro","25481"
"210140","10140","Aberdeen, WA","2005","Micro","26230"
"210140","10140","Aberdeen, WA","2006","Micro","27311"
"210140","10140","Aberdeen, WA","2007","Micro","28570"
"210140","10140","Aberdeen, WA","2008","Micro","30240"
"210140","10140","Aberdeen, WA","2009","Micro","29796"
"210140","10140","Aberdeen, WA","2010","Micro","30223"
"210140","10140","Aberdeen, WA","2011","Micro","30888"
"210140","10140","Aberdeen, WA","2012","Micro","31806"
"210140","10140","Aberdeen, WA","2013","Micro","31979"
"210140","10140","Aberdeen, WA","2014","Micro","34277"
"210140","10140","Aberdeen, WA","2015","Micro","34894"
"210140","10140","Aberdeen, WA","2016","Micro","36023"
"210140","10140","Aberdeen, WA","2017","Micro","37512"
"210140","10140","Aberdeen, WA","2018","Micro","38982"
"210140","10140","Aberdeen, WA","2019","Micro","40452"
"210140","10140","Aberdeen, WA","2020","Micro","43601"
"210140","10140","Aberdeen, WA","2021","Micro","47004"
