IBRC_Geo_ID,State,District Name,Year,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic
6500001                             ,AK,Kenai Peninsula Economic Development District,1990,41125,37508,199,3003,415,NULL,NULL,40421,704
6500001                             ,AK,Kenai Peninsula Economic Development District,1991,42649,38893,204,3120,432,NULL,NULL,41913,736
6500001                             ,AK,Kenai Peninsula Economic Development District,1992,43496,39670,212,3173,441,NULL,NULL,42748,748
6500001                             ,AK,Kenai Peninsula Economic Development District,1993,44201,40265,219,3251,466,NULL,NULL,43431,770
6500001                             ,AK,Kenai Peninsula Economic Development District,1994,45588,41435,237,3423,493,NULL,NULL,44761,827
6500001                             ,AK,Kenai Peninsula Economic Development District,1995,46719,42408,232,3561,518,NULL,NULL,45857,862
6500001                             ,AK,Kenai Peninsula Economic Development District,1996,47859,43325,255,3725,554,NULL,NULL,46957,902
6500001                             ,AK,Kenai Peninsula Economic Development District,1997,48544,43777,280,3909,578,NULL,NULL,47600,944
6500001                             ,AK,Kenai Peninsula Economic Development District,1998,49196,44232,293,4080,591,NULL,NULL,48231,965
6500001                             ,AK,Kenai Peninsula Economic Development District,1999,49729,44652,295,4169,613,NULL,NULL,48724,1005
6500001                             ,AK,Kenai Peninsula Economic Development District,2000,49618,43353,236,3760,488,88,1693,48530,1088
6500001                             ,AK,Kenai Peninsula Economic Development District,2001,49986,43611,273,3729,512,79,1782,48826,1160
6500001                             ,AK,Kenai Peninsula Economic Development District,2002,50804,44144,287,3811,538,89,1935,49547,1257
6500001                             ,AK,Kenai Peninsula Economic Development District,2003,50963,44214,283,3808,547,91,2020,49657,1306
6500001                             ,AK,Kenai Peninsula Economic Development District,2004,51404,44423,271,3819,570,110,2211,50055,1349
6500001                             ,AK,Kenai Peninsula Economic Development District,2005,51590,44557,283,3829,562,111,2248,50188,1402
6500001                             ,AK,Kenai Peninsula Economic Development District,2006,52253,44951,279,3909,573,122,2419,50789,1464
6500001                             ,AK,Kenai Peninsula Economic Development District,2007,53272,45711,277,3975,618,115,2576,51747,1525
6500001                             ,AK,Kenai Peninsula Economic Development District,2008,53655,45974,278,3994,649,130,2630,52083,1572
6500001                             ,AK,Kenai Peninsula Economic Development District,2009,54796,46817,276,4119,626,133,2825,53177,1619
6500001                             ,AK,Kenai Peninsula Economic Development District,2010,55554,47323,303,4147,661,135,2985,53884,1670
6500001                             ,AK,Kenai Peninsula Economic Development District,2011,56311,47856,329,4234,696,143,3053,54531,1780
6500001                             ,AK,Kenai Peninsula Economic Development District,2012,56920,48355,386,4210,697,150,3122,54997,1923
6500001                             ,AK,Kenai Peninsula Economic Development District,2013,57039,48337,395,4225,770,148,3164,54973,2066
6500001                             ,AK,Kenai Peninsula Economic Development District,2014,57594,48559,394,4356,798,154,3333,55407,2187
6500001                             ,AK,Kenai Peninsula Economic Development District,2015,58075,48774,404,4469,839,148,3441,55782,2293
6500001                             ,AK,Kenai Peninsula Economic Development District,2016,58515,49011,433,4575,911,152,3433,56104,2411
6500001                             ,AK,Kenai Peninsula Economic Development District,2017,58594,48865,445,4644,1026,154,3460,56156,2438
6500001                             ,AK,Kenai Peninsula Economic Development District,2018,58609,48730,444,4727,1039,182,3487,56110,2499
6500001                             ,AK,Kenai Peninsula Economic Development District,2019,58914,48963,477,4744,1068,175,3487,56382,2532
6500001                             ,AK,Kenai Peninsula Economic Development District,2020,58941,48709,506,4868,1101,192,3565,56546,2395
6500001                             ,AK,Kenai Peninsula Economic Development District,2021,59947,49461,543,4934,1140,192,3677,57418,2529
6500001                             ,AK,Kenai Peninsula Economic Development District,2022,60631,49965,548,4975,1170,205,3768,57955,2676
6500001                             ,AK,Kenai Peninsula Economic Development District,2023,61285,50454,576,5063,1150,214,3828,58513,2772
6500001                             ,AK,Kenai Peninsula Economic Development District,2024,61259,50281,601,5040,1197,213,3927,58364,2895
6500002                             ,AK,Prince William Sound Economic Development District,2010,6710,5179,37,653,346,41,454,6408,302
6500002                             ,AK,Prince William Sound Economic Development District,2011,6775,5174,53,680,348,46,474,6472,303
6500002                             ,AK,Prince William Sound Economic Development District,2012,6771,5118,76,698,352,39,488,6435,336
6500002                             ,AK,Prince William Sound Economic Development District,2013,6809,5132,66,717,362,40,492,6471,338
6500002                             ,AK,Prince William Sound Economic Development District,2014,6622,4967,68,728,353,38,468,6293,329
6500002                             ,AK,Prince William Sound Economic Development District,2015,6526,4874,63,730,357,45,457,6188,338
6500002                             ,AK,Prince William Sound Economic Development District,2016,6542,4864,64,749,367,44,454,6203,339
6500002                             ,AK,Prince William Sound Economic Development District,2017,6509,4789,62,762,391,45,460,6160,349
6500002                             ,AK,Prince William Sound Economic Development District,2018,6487,4730,68,779,409,40,461,6134,353
6500002                             ,AK,Prince William Sound Economic Development District,2019,6509,4714,71,783,434,43,464,6149,360
6500002                             ,AK,Prince William Sound Economic Development District,2020,7082,5120,91,859,475,41,496,6675,407
6500002                             ,AK,Prince William Sound Economic Development District,2021,6967,4974,103,847,483,46,514,6559,408
6500002                             ,AK,Prince William Sound Economic Development District,2022,6910,4908,123,834,500,47,498,6495,415
6500002                             ,AK,Prince William Sound Economic Development District,2023,6749,4767,142,779,495,56,510,6354,395
6500002                             ,AK,Prince William Sound Economic Development District,2024,6604,4645,164,764,459,61,511,6180,424
6500003                             ,AK,Southeast Conference,1990,69506,54060,385,12986,2075,NULL,NULL,68145,1361
6500003                             ,AK,Southeast Conference,1991,71142,55405,389,13162,2186,NULL,NULL,69766,1376
6500003                             ,AK,Southeast Conference,1992,72040,56120,413,13238,2269,NULL,NULL,70644,1396
6500003                             ,AK,Southeast Conference,1993,73133,56954,438,13382,2359,NULL,NULL,71718,1415
6500003                             ,AK,Southeast Conference,1994,73296,56895,440,13546,2415,NULL,NULL,71844,1452
6500003                             ,AK,Southeast Conference,1995,73782,57185,415,13687,2495,NULL,NULL,72283,1499
6500003                             ,AK,Southeast Conference,1996,74559,57475,434,14002,2648,NULL,NULL,72977,1582
6500003                             ,AK,Southeast Conference,1997,74772,57404,449,14148,2771,NULL,NULL,73102,1670
6500003                             ,AK,Southeast Conference,1998,73705,56262,455,14189,2799,NULL,NULL,72012,1693
6500003                             ,AK,Southeast Conference,1999,73372,55826,469,14218,2859,NULL,NULL,71570,1802
6500003                             ,AK,Southeast Conference,2000,56708,42318,373,7912,2456,186,3463,54960,1748
6500003                             ,AK,Southeast Conference,2001,56123,41634,428,7777,2540,202,3542,54278,1845
6500003                             ,AK,Southeast Conference,2002,56212,41405,425,7775,2679,214,3714,54256,1956
6500003                             ,AK,Southeast Conference,2003,56219,41159,427,7682,2818,238,3895,54175,2044
6500003                             ,AK,Southeast Conference,2004,56165,40761,430,7747,2827,237,4163,53987,2178
6500003                             ,AK,Southeast Conference,2005,56247,40561,444,7759,2949,233,4301,53954,2293
