IBRC_Geo_ID,Metrofips/Microfips,Description,Year,Geography,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic
210100,10100,"Aberdeen, SD",1990,Micro,39873,38721,38,976,138,NULL,NULL,39767,106
210100,10100,"Aberdeen, SD",1991,Micro,39906,38732,42,988,144,NULL,NULL,39803,103
210100,10100,"Aberdeen, SD",1992,Micro,40098,38893,52,1011,142,NULL,NULL,39995,103
210100,10100,"Aberdeen, SD",1993,Micro,40308,39144,50,967,147,NULL,NULL,40204,104
210100,10100,"Aberdeen, SD",1994,Micro,40427,39273,61,948,145,NULL,NULL,40311,116
210100,10100,"Aberdeen, SD",1995,Micro,40567,39431,50,937,149,NULL,NULL,40441,126
210100,10100,"Aberdeen, SD",1996,Micro,40667,39471,64,974,158,NULL,NULL,40530,137
210100,10100,"Aberdeen, SD",1997,Micro,40454,39227,75,994,158,NULL,NULL,40301,153
210100,10100,"Aberdeen, SD",1998,Micro,40202,38964,80,1003,155,NULL,NULL,40035,167
210100,10100,"Aberdeen, SD",1999,Micro,40072,38793,95,1022,162,NULL,NULL,39890,182
210100,10100,"Aberdeen, SD",2000,Micro,39825,38278,104,966,151,34,292,39566,259
210100,10100,"Aberdeen, SD",2001,Micro,39602,37954,131,963,191,41,322,39270,332
210100,10100,"Aberdeen, SD",2002,Micro,39417,37703,137,979,189,47,362,39066,351
210100,10100,"Aberdeen, SD",2003,Micro,39419,37575,145,1027,233,39,400,39039,380
210100,10100,"Aberdeen, SD",2004,Micro,39440,37540,157,1047,227,37,432,39028,412
210100,10100,"Aberdeen, SD",2005,Micro,39569,37602,159,1027,267,56,458,39132,437
210100,10100,"Aberdeen, SD",2006,Micro,39604,37616,166,1034,271,44,473,39138,466
210100,10100,"Aberdeen, SD",2007,Micro,39847,37794,168,1050,288,42,505,39356,491
210100,10100,"Aberdeen, SD",2008,Micro,39915,37774,175,1091,300,48,527,39422,493
210100,10100,"Aberdeen, SD",2009,Micro,40219,37974,200,1104,326,47,568,39692,527
210100,10100,"Aberdeen, SD",2010,Micro,40721,38311,218,1158,381,47,606,40153,568
210100,10100,"Aberdeen, SD",2011,Micro,40974,38391,276,1215,423,45,624,40318,656
210100,10100,"Aberdeen, SD",2012,Micro,41591,38626,439,1271,568,48,639,40787,804
210100,10100,"Aberdeen, SD",2013,Micro,42175,38946,499,1288,684,67,691,41181,994
210100,10100,"Aberdeen, SD",2014,Micro,42250,38859,509,1332,756,62,732,41305,945
210100,10100,"Aberdeen, SD",2015,Micro,42432,38845,527,1350,893,69,748,41485,947
210100,10100,"Aberdeen, SD",2016,Micro,42821,38731,621,1444,1120,72,833,41750,1071
210100,10100,"Aberdeen, SD",2017,Micro,43247,38605,862,1482,1346,95,857,42041,1206
210100,10100,"Aberdeen, SD",2018,Micro,42956,38434,867,1447,1245,97,866,41544,1412
210100,10100,"Aberdeen, SD",2019,Micro,42740,38177,876,1403,1305,101,878,41251,1489
210100,10100,"Aberdeen, SD",2020,Micro,42216,37627,772,1440,1361,111,905,40502,1714
210100,10100,"Aberdeen, SD",2021,Micro,42152,37457,786,1498,1369,113,929,40355,1797
210100,10100,"Aberdeen, SD",2022,Micro,42018,37396,764,1508,1249,131,970,40176,1842
210100,10100,"Aberdeen, SD",2023,Micro,41717,37186,741,1511,1180,127,972,39828,1889
210100,10100,"Aberdeen, SD",2024,Micro,41522,37091,708,1513,1132,137,941,39487,2035
210140,10140,"Aberdeen, WA",1990,Micro,64397,60812,118,2747,720,NULL,NULL,63216,1181
210140,10140,"Aberdeen, WA",1991,Micro,64649,60965,127,2819,738,NULL,NULL,63343,1306
210140,10140,"Aberdeen, WA",1992,Micro,65417,61570,139,2932,776,NULL,NULL,63985,1432
210140,10140,"Aberdeen, WA",1993,Micro,65991,62015,158,3022,796,NULL,NULL,64387,1604
210140,10140,"Aberdeen, WA",1994,Micro,66644,62530,177,3112,825,NULL,NULL,64876,1768
210140,10140,"Aberdeen, WA",1995,Micro,67273,62986,199,3222,866,NULL,NULL,65289,1984
210140,10140,"Aberdeen, WA",1996,Micro,67764,63323,227,3319,895,NULL,NULL,65545,2219
210140,10140,"Aberdeen, WA",1997,Micro,68022,63421,257,3422,922,NULL,NULL,65568,2454
210140,10140,"Aberdeen, WA",1998,Micro,67466,62733,280,3503,950,NULL,NULL,64768,2698
210140,10140,"Aberdeen, WA",1999,Micro,67265,62414,312,3580,959,NULL,NULL,64316,2949
210140,10140,"Aberdeen, WA",2000,Micro,67075,60979,246,3193,860,80,1717,63798,3277
