,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec\
2016,4.8,4.9,5,5.1,4.8,4.9,4.8,4.9,5,4.9,4.7,4.7\
2017,4.7,4.6,4.4,4.4,4.4,4.3,4.3,4.4,4.3,4.2,4.2,4.1\
2018,4,4.1,4,4,3.8,4,3.8,3.8,3.7,3.8,3.8,3.9\
2019,4,3.8,3.8,3.7,3.6,3.6,3.7,3.6,3.5,3.6,3.6,3.6\
2020,3.6,3.5,4.4,14.8,13.2,11,10.2,8.4,7.8,6.9,6.7,6.7\
2021,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9\
2022,4,3.9,3.7,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5\
2023,3.5,3.6,3.5,3.4,3.6,3.6,3.5,3.7,3.7,3.9,3.7,3.8\
2024,3.7,3.9,3.9,3.9,3.9,4.1,4.2,4.2,4.1,4.1,4.2,4.1\
2025,4,4.2,4.2,4.2,4.3,4.1,4.3,4.3,4.4,-9,4.5,4.4\
2026,4.3(12),4.4,4.3, , , , , , , , ,\
},,,,,,,,,,,,
