student_id,gpa,year,major,credits,sleep_hrs,study_hrs,social_hrs,screen_hrs,mental_health_score,extracurriculars,extracurricular_hrs,has_minor,part_time_job,commuter,first_gen
WU0001,3.2,Senior,Other,15,,17.1,0.0,3.6,4.0,1,3.8,0,0,0,0
WU0002,2.57,Junior,English,16,7.2,9.4,7.8,2.8,5.0,2,7.3,1,0,0,0
WU0003,3.17,Junior,Biology,16,6.2,21.0,4.4,5.6,4.0,0,0.0,0,0,0,0
WU0004,4.0,Junior,Other,16,7.7,32.6,7.4,5.2,6.0,2,7.3,0,0,0,0
WU0005,3.11,Sophomore,Biology,18,7.3,0.0,2.7,1.2,8.0,1,2.0,0,0,1,0
WU0006,2.89,Sophomore,Other,16,7.5,14.3,11.4,2.8,5.0,3,7.5,0,0,1,0
WU0007,3.78,Senior,CS,14,8.4,21.5,16.8,0.5,7.0,0,0.0,0,1,0,0
WU0008,3.22,Senior,Other,16,7.3,23.6,0.0,2.6,6.0,1,2.9,0,1,0,1
WU0009,2.94,Senior,CS,17,6.4,14.3,9.2,4.6,7.0,0,0.0,0,1,0,0
WU0010,3.23,Senior,Other,12,8.4,14.7,3.9,1.3,3.0,4,3.2,0,0,0,0
WU0011,2.9,Sophomore,Economics,16,6.5,10.0,12.1,3.0,4.0,2,4.5,1,0,0,0
WU0012,1.83,Sophomore,Other,16,5.6,6.4,10.5,2.9,5.0,0,0.0,0,0,0,1
WU0013,3.82,Senior,CS,14,6.7,26.6,2.0,4.5,8.0,2,4.9,0,0,1,0
WU0014,1.81,Junior,Economics,17,4.8,5.2,13.8,5.9,3.0,1,2.3,0,1,0,0
WU0015,2.5,Junior,Other,14,5.6,22.7,17.8,4.1,1.0,1,4.2,0,0,0,1
WU0016,3.74,Senior,Economics,15,6.3,14.2,7.2,5.1,6.0,2,3.1,1,0,0,1
WU0017,2.33,Senior,Psychology,15,5.5,7.3,13.8,4.1,3.0,2,7.7,1,0,0,1
WU0018,2.13,Sophomore,Psychology,14,6.5,3.3,3.4,3.8,3.0,1,2.1,0,1,0,0
WU0019,2.0,Sophomore,Economics,12,4.8,0.0,6.6,8.4,4.0,0,0.0,0,0,0,0
WU0020,1.68,Freshman,Psychology,12,7.0,0.0,15.1,8.1,5.0,4,12.7,1,0,0,0
WU0021,3.44,Junior,Economics,19,6.8,23.5,13.9,0.9,4.0,0,0.0,1,0,1,1
WU0022,2.39,Freshman,Other,13,6.2,16.8,10.8,6.1,1.0,3,6.4,0,0,0,0
WU0023,3.39,Sophomore,CS,13,7.8,3.7,8.9,6.1,8.0,1,2.0,0,0,0,0
WU0024,3.41,Junior,Biology,10,7.9,17.5,8.6,3.1,9.0,2,6.1,0,0,0,0
WU0025,2.4,Sophomore,Other,14,5.0,8.9,3.1,6.4,6.0,1,2.2,1,0,0,1
WU0026,2.8,Junior,Other,12,6.3,18.3,10.9,7.2,4.0,5,11.8,0,0,0,0
WU0027,3.16,Freshman,Economics,19,5.2,19.5,13.7,3.0,4.0,2,3.2,1,0,1,0
WU0028,3.13,Freshman,Psychology,17,5.8,21.5,5.1,2.4,5.0,1,2.2,0,0,1,0
WU0029,3.83,Senior,Biology,13,7.6,12.9,5.9,6.8,7.0,5,13.7,0,0,1,0
WU0030,2.51,Sophomore,Biology,19,5.8,4.0,12.2,,6.0,1,1.8,0,1,0,0
WU0031,2.15,Freshman,Economics,16,6.0,0.0,9.7,6.0,4.0,0,0.0,0,1,0,0
WU0032,3.44,Sophomore,English,14,5.4,17.9,6.6,3.8,6.0,4,9.9,0,0,0,0
WU0033,3.63,Junior,Economics,9,8.2,15.8,19.6,5.2,8.0,0,0.0,0,0,0,0
WU0034,1.52,Freshman,CS,20,4.6,0.1,11.0,2.8,6.0,1,2.2,0,0,1,0
WU0035,3.59,Junior,Other,12,7.5,19.4,4.9,5.8,8.0,0,0.0,1,0,0,0
WU0036,2.82,Freshman,Other,10,7.1,8.1,7.4,,7.0,0,0.0,0,1,0,0
WU0037,3.17,Freshman,Psychology,17,8.3,12.3,13.5,3.9,6.0,3,1.9,0,0,0,0
WU0038,1.03,Sophomore,Economics,20,3.9,0.0,11.5,5.8,5.0,2,4.2,1,1,0,0
WU0039,2.15,Junior,Biology,18,3.0,10.5,6.2,2.4,4.0,1,0.7,1,0,0,0
WU0040,3.54,Junior,Undecided,16,6.9,19.9,14.5,5.2,4.0,2,6.9,1,0,0,0
WU0041,3.58,Junior,Psychology,16,8.6,9.0,16.6,5.1,9.0,0,0.0,1,1,0,0
WU0042,3.69,Senior,CS,16,7.7,26.5,2.3,4.1,7.0,0,0.0,0,1,1,1
WU0043,2.97,Sophomore,Other,16,6.7,11.4,0.0,6.7,5.0,3,11.5,0,1,1,0
WU0044,2.13,Sophomore,Undecided,15,5.9,11.7,14.9,4.0,4.0,1,0.0,1,1,0,1
WU0045,2.46,Senior,Other,15,7.1,15.8,4.8,6.4,6.0,0,0.0,1,0,0,0
WU0046,2.13,Freshman,Psychology,14,5.5,10.5,14.6,3.0,6.0,3,9.9,0,1,0,0
WU0047,3.86,Sophomore,Psychology,13,7.5,20.3,0.0,4.6,6.0,4,7.0,1,0,0,1
WU0048,3.35,Freshman,English,13,7.8,19.2,12.5,3.4,7.0,4,8.2,0,1,0,0
WU0049,3.58,Freshman,Other,11,8.7,11.5,2.8,4.7,10.0,2,6.2,0,0,0,0
WU0050,2.84,Senior,Other,14,9.0,10.4,13.7,4.9,8.0,1,2.1,0,1,0,0
WU0051,3.97,Senior,CS,13,7.5,10.5,8.5,4.0,7.0,2,4.0,0,0,0,0
WU0052,3.7,Junior,CS,12,6.4,15.8,3.0,6.2,7.0,0,0.0,0,0,0,1
WU0053,3.27,Sophomore,English,15,6.6,11.5,7.4,4.1,,2,5.5,0,0,0,1
WU0054,2.26,Freshman,Undecided,17,4.7,12.4,12.9,1.0,5.0,5,14.1,1,1,1,1
WU0055,3.34,Freshman,Other,17,6.3,16.7,8.7,7.1,9.0,5,12.8,0,0,1,0
WU0056,2.46,Freshman,CS,11,7.3,4.6,13.5,6.6,6.0,1,2.0,0,0,0,1
WU0057,2.88,Junior,Psychology,13,6.1,8.6,20.7,2.6,4.0,2,4.8,1,0,1,1
WU0058,2.6,Junior,English,17,6.6,14.8,0.0,5.9,4.0,1,5.0,1,0,0,0
WU0059,2.88,Junior,Other,12,6.1,17.6,16.4,3.2,4.0,2,6.9,1,1,1,0
WU0060,2.74,Freshman,Undecided,15,8.5,10.2,9.8,4.3,5.0,4,11.7,1,0,1,1
WU0061,2.75,Senior,Undecided,15,6.3,22.7,1.8,5.2,4.0,1,1.7,0,1,0,0
WU0062,2.58,Junior,Economics,13,6.9,9.1,2.1,4.2,3.0,4,10.4,0,0,0,1
WU0063,2.76,Junior,English,15,6.0,18.2,7.2,3.6,5.0,1,0.7,0,0,0,0
WU0064,2.59,Junior,Biology,11,6.7,13.0,14.4,3.9,7.0,2,7.7,0,1,0,1
WU0065,3.44,Sophomore,CS,13,8.3,14.1,7.6,2.2,5.0,2,4.1,0,0,0,0
WU0066,4.0,Freshman,Other,16,6.3,32.7,13.3,1.7,8.0,3,11.5,0,0,0,0
WU0067,2.54,Sophomore,Undecided,11,6.6,6.5,2.2,4.4,7.0,3,6.8,0,0,0,0
WU0068,3.58,Junior,Other,15,6.5,25.6,5.6,2.3,8.0,1,2.3,0,1,1,1
WU0069,3.49,Freshman,Other,15,5.6,22.7,0.5,5.4,4.0,2,5.0,0,0,1,0
WU0070,1.94,Freshman,Economics,15,5.5,3.8,13.4,7.8,6.0,0,0.0,0,1,0,0
WU0071,2.67,Freshman,Undecided,15,6.3,23.8,12.1,3.0,3.0,0,0.0,0,1,0,0
WU0072,3.54,Freshman,Other,18,8.1,17.8,5.3,3.8,8.0,3,7.5,0,0,0,1
WU0073,3.67,Senior,Undecided,15,7.0,19.2,0.0,5.3,6.0,4,5.1,1,0,0,0
WU0074,3.83,Junior,Biology,13,7.5,23.6,,4.2,8.0,2,7.0,0,1,1,1
WU0075,1.85,Sophomore,Economics,15,6.9,2.0,14.9,6.4,3.0,2,5.9,0,0,0,0
WU0076,3.6,Freshman,CS,16,7.0,23.1,9.3,5.2,4.0,3,11.3,0,0,0,0
WU0077,3.03,Sophomore,Other,15,7.3,21.1,14.2,5.2,7.0,3,11.8,1,0,0,0
WU0078,2.72,Sophomore,Psychology,15,6.6,0.3,5.5,2.4,4.0,2,7.3,0,0,0,0
WU0079,3.36,Freshman,Biology,13,7.2,22.4,11.3,5.9,7.0,2,4.5,0,1,0,1
WU0080,1.39,Sophomore,Psychology,13,5.5,0.0,19.1,7.6,2.0,0,0.0,0,1,1,0
WU0081,2.67,Sophomore,Psychology,11,4.3,20.7,0.0,3.0,6.0,3,3.6,0,1,0,0
WU0082,2.86,Junior,English,19,6.3,25.0,7.9,4.1,3.0,2,4.3,1,0,0,1
WU0083,4.0,Junior,CS,12,9.2,15.2,4.5,4.8,9.0,1,4.3,1,0,0,0
WU0084,3.44,Freshman,Psychology,13,8.0,8.6,10.0,4.4,7.0,0,0.0,0,0,1,0
WU0085,2.06,Sophomore,Economics,13,7.6,1.5,13.4,7.1,5.0,0,0.0,1,1,1,1
WU0086,3.04,Junior,Undecided,17,7.7,11.6,6.4,9.3,7.0,5,6.6,1,0,0,0
WU0087,2.76,Sophomore,Economics,13,7.2,15.3,4.3,2.3,7.0,1,2.0,0,1,0,0
WU0088,3.14,Senior,Other,18,6.7,23.7,6.2,1.5,4.0,2,5.3,1,0,0,1
WU0089,3.18,Junior,Economics,14,6.0,23.6,1.0,5.2,3.0,2,4.7,1,0,0,0
WU0090,2.85,Freshman,Economics,15,6.5,24.5,1.0,5.3,2.0,1,3.8,0,1,1,0
WU0091,2.84,Freshman,Other,13,7.9,10.3,13.5,4.0,7.0,0,0.0,0,0,0,0
WU0092,2.75,Junior,English,19,7.7,15.9,1.1,6.5,3.0,0,0.0,1,1,0,1
WU0093,2.49,Freshman,CS,11,6.7,0.0,15.8,2.5,6.0,1,0.7,0,1,0,0
WU0094,2.63,Junior,CS,16,6.1,8.2,12.2,6.0,5.0,2,3.0,1,0,0,0
WU0095,2.56,Senior,Undecided,16,6.4,22.4,0.0,3.4,6.0,3,9.7,1,0,0,1
WU0096,2.23,Junior,Psychology,16,6.8,21.2,4.2,8.6,4.0,3,10.9,0,0,1,1
WU0097,1.9,Sophomore,Psychology,14,5.2,5.3,16.7,8.1,4.0,0,0.0,1,1,0,0
WU0098,3.03,Junior,Biology,15,4.3,12.7,3.1,2.8,6.0,3,6.4,0,0,0,0
WU0099,2.36,Sophomore,CS,15,6.3,14.6,6.1,3.4,6.0,1,3.8,0,0,0,0
WU0100,2.69,Junior,CS,15,5.4,17.0,10.5,6.2,5.0,1,1.8,1,0,0,1
WU0101,1.76,Senior,English,16,5.2,2.7,15.2,4.8,5.0,2,4.0,0,1,0,0
WU0102,3.04,Sophomore,Economics,20,6.0,14.8,7.5,4.6,2.0,0,0.0,1,0,0,0
WU0103,2.57,Senior,English,13,6.0,10.8,5.5,4.7,7.0,0,0.0,1,1,1,1
WU0104,3.21,Senior,English,11,8.2,12.6,16.5,1.3,8.0,1,3.9,0,1,0,1
WU0105,2.96,Freshman,Other,15,7.2,16.9,18.3,4.5,4.0,2,8.0,0,0,0,0
WU0106,2.21,Freshman,English,20,6.8,14.2,14.3,2.9,5.0,1,4.6,0,0,0,1
WU0107,3.98,Freshman,Economics,12,8.4,17.7,7.8,2.2,7.0,1,3.9,0,1,0,0
WU0108,2.42,Freshman,Undecided,19,5.3,12.5,4.9,7.1,4.0,0,0.0,1,0,1,1
